team,team_colour,text_colour
Adelaide Crows,#002b5a,#ffd500
Brisbane Bears,#771c2b,#eeca5c
Brisbane Lions,#7c003f,#fdbe57
Carlton Blues,#031a28,#ffffff
Collingwood Magpies,#000000,#ffffff
Essendon Bombers,#c80525,#ffffff
Fitzroy Lions,#e20001,#ffd101
Footscray Bulldogs,#1f539e,#ffffff
Fremantle Dockers,#2b0d55,#ffffff
Geelong Cats,#012b5d,#ffffff
Gold Coast Suns,#de2312,#f5d934
Greater Western Sydney Giants,#f57921,#000000
Hawthorn Hawks,#4d2003,#fcbf16
Melbourne Demons,#0e1130,#cf1f33
North Melbourne Kangaroos,#1b3b8e,#ffffff
Port Adelaide Power,#008aad,#ffffff
Richmond Tigers,#ffd400,#000000
South Melbourne Swans,#e1251a,#ffffff
St Kilda Saints,#ec1b31,#ffffff
Sydney Swans,#e1251a,#ffffff
University,#2d5090,#ffffff
West Coast Eagles,#f2aa00,#013088
Western Bulldogs,#1f539e,#ffffff
