competition_year_afl,year,wooden_spoon_afl
VFL 1897,1897,St Kilda Saints
VFL 1898,1898,St Kilda Saints
VFL 1899,1899,St Kilda Saints
VFL 1900,1900,St Kilda Saints
VFL 1901,1901,St Kilda Saints
VFL 1902,1902,St Kilda Saints
VFL 1903,1903,South Melbourne Swans
VFL 1904,1904,St Kilda Saints
VFL 1905,1905,Melbourne Demons
VFL 1906,1906,Melbourne Demons
VFL 1907,1907,Essendon Bombers
VFL 1908,1908,Geelong Cats
VFL 1909,1909,St Kilda Saints
VFL 1910,1910,St Kilda Saints
VFL 1911,1911,University
VFL 1912,1912,University
VFL 1913,1913,University
VFL 1914,1914,University
VFL 1915,1915,Geelong Cats
VFL 1916,1916,Richmond Tigers
VFL 1917,1917,Richmond Tigers
VFL 1918,1918,Essendon Bombers
VFL 1919,1919,Melbourne Demons
VFL 1920,1920,St Kilda Saints
VFL 1921,1921,Essendon Bombers
VFL 1922,1922,South Melbourne Swans
VFL 1923,1923,Melbourne Demons
VFL 1924,1924,St Kilda Saints
VFL 1925,1925,Hawthorn Hawks
VFL 1926,1926,North Melbourne Kangaroos
VFL 1927,1927,Hawthorn Hawks
VFL 1928,1928,Hawthorn Hawks
VFL 1929,1929,North Melbourne Kangaroos
VFL 1930,1930,North Melbourne Kangaroos
VFL 1931,1931,North Melbourne Kangaroos
VFL 1932,1932,Hawthorn Hawks
VFL 1933,1933,Essendon Bombers
VFL 1934,1934,North Melbourne Kangaroos
VFL 1935,1935,North Melbourne Kangaroos
VFL 1936,1936,Fitzroy Lions
VFL 1937,1937,North Melbourne Kangaroos
VFL 1938,1938,South Melbourne Swans
VFL 1939,1939,South Melbourne Swans
VFL 1940,1940,North Melbourne Kangaroos
VFL 1941,1941,Hawthorn Hawks
VFL 1942,1942,Hawthorn Hawks
VFL 1943,1943,St Kilda Saints
VFL 1944,1944,Geelong Cats
VFL 1945,1945,St Kilda Saints
VFL 1946,1946,Hawthorn Hawks
VFL 1947,1947,St Kilda Saints
VFL 1948,1948,St Kilda Saints
VFL 1949,1949,Hawthorn Hawks
VFL 1950,1950,Hawthorn Hawks
VFL 1951,1951,Melbourne Demons
VFL 1952,1952,St Kilda Saints
VFL 1953,1953,Hawthorn Hawks
VFL 1954,1954,St Kilda Saints
VFL 1955,1955,St Kilda Saints
VFL 1956,1956,North Melbourne Kangaroos
VFL 1957,1957,Geelong Cats
VFL 1958,1958,Geelong Cats
VFL 1959,1959,Footscray Bulldogs
VFL 1960,1960,Richmond Tigers
VFL 1961,1961,North Melbourne Kangaroos
VFL 1962,1962,South Melbourne Swans
VFL 1963,1963,Fitzroy Lions
VFL 1964,1964,Fitzroy Lions
VFL 1965,1965,Hawthorn Hawks
VFL 1966,1966,Fitzroy Lions
VFL 1967,1967,Footscray Bulldogs
VFL 1968,1968,North Melbourne Kangaroos
VFL 1969,1969,Melbourne Demons
VFL 1970,1970,North Melbourne Kangaroos
VFL 1971,1971,South Melbourne Swans
VFL 1972,1972,North Melbourne Kangaroos
VFL 1973,1973,South Melbourne Swans
VFL 1974,1974,Melbourne Demons
VFL 1975,1975,South Melbourne Swans
VFL 1976,1976,Collingwood Magpies
VFL 1977,1977,St Kilda Saints
VFL 1978,1978,Melbourne Demons
VFL 1979,1979,St Kilda Saints
VFL 1980,1980,Fitzroy Lions
VFL 1981,1981,Melbourne Demons
VFL 1982,1982,Footscray Bulldogs
VFL 1983,1983,St Kilda Saints
VFL 1984,1984,St Kilda Saints
VFL 1985,1985,St Kilda Saints
VFL 1986,1986,St Kilda Saints
VFL 1987,1987,Richmond Tigers
VFL 1988,1988,St Kilda Saints
VFL 1989,1989,Richmond Tigers
AFL 1990,1990,Brisbane Bears
AFL 1991,1991,Brisbane Bears
AFL 1992,1992,Sydney Swans
AFL 1993,1993,Sydney Swans
AFL 1994,1994,Sydney Swans
AFL 1995,1995,Fitzroy Lions
AFL 1996,1996,Fitzroy Lions
AFL 1997,1997,Melbourne Demons
AFL 1998,1998,Brisbane Lions
AFL 1999,1999,Collingwood Magpies
AFL 2000,2000,St Kilda Saints
AFL 2001,2001,Fremantle Dockers
AFL 2002,2002,Carlton Blues
AFL 2003,2003,Western Bulldogs
AFL 2004,2004,Richmond Tigers
AFL 2005,2005,Carlton Blues
AFL 2006,2006,Carlton Blues
AFL 2007,2007,Richmond Tigers
AFL 2008,2008,Melbourne Demons
AFL 2009,2009,Melbourne Demons
AFL 2010,2010,West Coast Eagles
AFL 2011,2011,Gold Coast Suns
AFL 2012,2012,Greater Western Sydney Giants
AFL 2013,2013,Greater Western Sydney Giants
AFL 2014,2014,St Kilda Saints
AFL 2015,2015,Carlton Blues
AFL 2016,2016,Essendon Bombers
AFL 2017,2017,Brisbane Lions
AFL 2018,2018,Carlton Blues
AFL 2019,2019,Gold Coast Suns
AFL 2020,2020,Adelaide Crows
AFL 2021,2021,North Melbourne Kangaroos
AFL 2022,2022,North Melbourne Kangaroos
AFL 2023,2023,West Coast Eagles
AFL 2024,2024,Richmond Tigers
