coach_id,full_name,first_name,last_name,nickname,birthday,birthdate
3587,Jim Abercrombie,Jim,Abercrombie,NA,1880-12-31,31-12
8188,Trevor Allan,Trevor,Allan,NA,1926-09-27,27-09
7440,Bill Anderson,Bill,Anderson,NA,1948-04-10,10-04
1515,Chris Anderson,Chris,Anderson,Opes,1952-05-28,28-05
2829,Daniel Anderson,Daniel,Anderson,NA,1967-05-03,03-05
19978,Brad Arthur,Brad,Arthur,NA,1974-05-21,21-05
10382,Ken Arthurson,Ken,Arthurson,Arko,1929-10-01,01-10
5909,Ferris Ashton,Ferris,Ashton,Ferdie,1926-08-21,21-08
7445,John Bailey,John,Bailey,NA,NA,NA
5839,Ron Bailey,Ron,Bailey,NA,1914-04-03,03-04
5951,Keith Barnes,Keith,Barnes,NA,1934-10-30,30-10
806,Trent Barrett,Trent,Barrett,NA,1977-11-18,18-11
8190,Harry Bath,Harry,Bath,NA,1924-11-28,28-11
1509,Arthur Beetson,Arthur,Beetson,NA,1945-01-22,22-01
10447,Dudley Beger,Dudley,Beger,NA,1928-12-30,30-12
7450,Grant Bell,Grant,Bell,NA,1962-05-02,02-05
902,Craig Bellamy,Craig,Bellamy,Bellyache,1958-10-03,03-10
6075,Wayne Bennett,Wayne,Bennett,NA,1950-01-01,01-01
6313,Tommy Bishop,Tommy,Bishop,NA,1940-10-15,15-10
5737,Alf Blair,Alf,Blair,NA,1896-01-23,23-01
7456,Steve Bleakley,Steve,Bleakley,NA,NA,NA
9180,George Boddington,George,Boddington,NA,1898-10-29,29-10
5967,Ron Boden,Ron,Boden,NA,1936-10-16,16-10
10673,Bob Boland,Bob,Boland,Bolo,1938-01-07,07-01
8875,Henry Bolewski,Henry,Bolewski,NA,1890-08-04,04-08
6269,Dave Bolton,Dave,Bolton,NA,1937-04-27,27-04
9435,Alan Brady,Alan,Brady,NA,1909-09-14,14-09
24763,Garth Brennan,Garth,Brennan,NA,1972-02-18,18-02
9250,Jerry Brien,Jerry,Brien,NA,1904-12-08,08-12
5771,Bill Brogan,Bill,Brogan,NA,1900-04-28,28-04
9125,Edward Brooks,Edward,Brooks,NA,1890-06-03,03-06
11651,Paul Broughton,Paul,Broughton,NA,1931-03-03,03-03
7415,Dave Brown,Dave,Brown,NA,1913-04-04,04-04
530,Nathan Brown,Nathan,Brown,NA,1973-07-31,31-07
782,Danny Buderus,Danny,Buderus,NA,1978-02-06,06-02
9998,Paddy Bugden,Paddy,Bugden,NA,1918-12-18,18-12
5874,Vic Bulgin,Vic,Bulgin,NA,1927-11-27,27-11
5892,Roy Bull,Roy,Bull,NA,1929-06-12,12-06
8675,Alex Burdon,Alex,Burdon,NA,1879-03-31,31-03
5384,Frank Burge,Frank,Burge,NA,1894-08-14,14-08
8795,Peter Burge,Peter,Burge,NA,1884-02-15,15-02
9699,Eddie Burns,Eddie,Burns,NA,1916-03-06,06-03
758,Luke Burt,Luke,Burt,NA,1981-06-06,06-06
9428,Joe Busch,Joe,Busch,NA,1907-06-04,04-06
9941,Charles Cahill,Charles,Cahill,NA,1916-01-28,28-01
5728,Harry Caples,Harry,Caples,NA,1898-02-04,04-02
28077,Ryan Carr,Ryan,Carr,NA,1988-08-03,03-08
469,John Cartwright,John,Cartwright,NA,1965-08-09,09-08
52117,Jack Chaseling,Jack,Chaseling,NA,NA,NA
5869,Clive Churchill,Clive,Churchill,NA,1927-01-21,21-01
2824,Cameron Ciraldo,Cameron,Ciraldo,NA,1984-10-30,30-10
11783,Jack Clare,Jack,Clare,NA,1924-06-17,17-06
239,Ivan Cleary,Ivan,Cleary,NA,1971-03-01,01-03
7448,Malcolm Clift,Malcolm,Clift,NA,1934-10-31,31-10
448,Craig Coleman,Craig,Coleman,NA,1963-01-31,31-01
10360,Cec Cooper,Cec,Cooper,NA,1926-02-21,21-02
8691,Ed Courtney,Ed,Courtney,Tedda,1884-08-29,29-08
5722,Jim Craig,Jim,Craig,NA,1895-06-29,29-06
6089,Michael Cronin,Michael,Cronin,Crow,1951-06-28,28-06
12006,Frank Curry Jnr,Frank,Curry Jnr,NA,1950-05-02,02-05
2346,Jason Demetriou,Jason,Demetriou,NA,1976-01-13,13-01
7455,Kieran Dempsey,Kieran,Dempsey,NA,NA,NA
3581,Jim Devereux,Jim,Devereux,NA,1887-06-27,27-06
5842,Pat Devery,Pat,Devery,NA,1922-08-09,09-08
5903,Denis Donoghue,Denis,Donoghue,NA,1926-10-17,17-10
5914,Col Donohoe,Col,Donohoe,NA,1929-08-02,02-08
9506,Laurie Doran,Laurie,Doran,NA,NA,NA
9419,Jim Duckworth,Jim,Duckworth,NA,1908-04-18,18-04
21,Andrew Dunemann,Andrew,Dunemann,NA,1976-10-06,06-10
9827,Dick Dunn,Dick,Dunn,NA,1920-08-10,10-08
91,Jim Dymock,Jim,Dymock,NA,1972-04-04,04-04
7449,Phil Economidis,Phil,Economidis,Bernie,1953-02-09,09-02
5758,Arthur Edwards,Arthur,Edwards,Fatty,1901-12-19,19-12
1155,Matthew Elliott,Matthew,Elliott,NA,1964-12-08,08-12
9715,Allan Ellis,Allan,Ellis,NA,1908-11-16,16-11
11815,Wayne Ellis,Wayne,Ellis,NA,NA,NA
2960,Frank Endacott,Frank,Endacott,NA,NA,NA
3952,Russell Fairfax,Russell,Fairfax,NA,1952-03-29,29-03
3622,Bill Farnsworth,Bill,Farnsworth,NA,1887-01-14,14-01
5407,Viv Farnsworth,Viv,Farnsworth,NA,1889-02-04,04-02
1235,Andrew Farrar,Andrew,Farrar,NA,1962-05-17,17-05
5843,Frank Farrell,Frank,Farrell,NA,1916-09-16,16-09
9573,Gordon Favell,Gordon,Favell,NA,1912-08-19,19-08
3733,Terry Fearnley,Terry,Fearnley,NA,1933-07-21,21-07
9212,Cec Fifield,Cec,Fifield,NA,1903-09-23,23-09
470,Brad Fittler,Brad,Fittler,NA,1972-02-05,05-02
10344,Jack Fitzgerald,Jack,Fitzgerald,NA,1925-01-04,04-01
7443,Allan Fitzgibbon,Allan,Fitzgibbon,NA,NA,NA
845,Craig Fitzgibbon,Craig,Fitzgibbon,NA,1977-06-16,16-06
1202,Shane Flanagan,Shane,Flanagan,NA,1965-12-02,02-12
1236,Steve Folkes,Steve,Folkes,NA,1959-01-31,31-01
5799,Arthur Folwell,Arthur,Folwell,Snowy,1904-09-23,23-09
9711,Harry Forbes,Harry,Forbes,NA,1914-03-14,14-03
8167,Roy Francis,Roy,Francis,NA,NA,NA
8973,Alf Fraser,Alf,Fraser,NA,1891-09-25,25-09
5393,Charles Fraser,Charles,Fraser,NA,1893-01-11,11-01
7444,Laurie Freier,Laurie,Freier,NA,1948-12-07,07-12
8623,Edward Fry,Edward,Fry,NA,1878-09-02,02-09
6047,Bob Fulton,Bob,Fulton,NA,1946-12-01,01-12
215,David Furner,David,Furner,NA,1971-02-06,06-02
5948,Don Furner,Don,Furner,Fatty,1931-12-26,26-12
33752,Ben Gardiner,Ben,Gardiner,NA,NA,NA
5907,Col Geelan,Col,Geelan,NA,1927-03-11,11-03
11816,Ken Gentle,Ken,Gentle,NA,NA,NA
4424,Peter Gentle,Peter,Gentle,NA,1965-09-26,26-09
543,Steve Georgallis,Steve,Georgallis,NA,1968-06-17,17-06
7442,Steve Ghosn,Steve,Ghosn,Gus,1953-04-01,01-04
3737,Jack Gibson,Jack,Gibson,NA,1929-02-27,27-02
5378,Herb Gilbert,Herb,Gilbert,NA,1887-09-18,18-09
5911,Charlie Gill,Charlie,Gill,NA,1922-05-02,02-05
8978,William Gillespie,William,Gillespie,NA,1894-11-22,22-11
3730,Ted Glossop,Ted,Glossop,NA,NA,NA
3134,Phil Gould,Phil,Gould,NA,1958-01-24,24-01
2936,Mark Graham,Mark,Graham,NA,1955-09-29,29-09
3612,Robert Graves,Robert,Graves,NA,1880-09-01,01-09
11820,Merv Gray,Merv,Gray,NA,NA,NA
8775,George Green,George,Green,NA,1883-12-17,17-12
407,Paul Green,Paul,Green,NA,1972-09-12,12-09
7401,Colin Greenwood,Colin,Greenwood,NA,1936-01-25,25-01
16571,Anthony Griffin,Anthony,Griffin,Hook,1966-08-26,26-08
7398,Fred Griffiths,Fred,Griffiths,NA,NA,NA
5992,Bob Hagan,Bob,Hagan,NA,1940-01-08,08-01
1070,Michael Hagan,Michael,Hagan,NA,1964-08-12,12-08
5406,Howard Hallett,Howard,Hallett,The Rock Of Gibraltar,1890-04-13,13-04
3582,Arthur Halloway,Arthur,Halloway,NA,1885-07-17,17-07
5974,Brian Hambly,Brian,Hambly,NA,1937-10-31,31-10
6091,Bill Hamilton,Bill,Hamilton,NA,1945-02-12,12-02
9939,Jack Hampstead,Jack,Hampstead,NA,1920-05-10,10-05
30,Josh Hannay,Josh,Hannay,NA,1980-01-11,11-01
10546,Barry Harris,Barry,Harris,NA,1938-05-09,09-05
9651,Rex Harrison,Rex,Harrison,NA,1914-06-27,27-06
3849,John Harvey,John,Harvey,Harve,1955-04-19,19-04
260,Des Hasler,Des,Hasler,Sorry,1961-02-16,16-02
5921,Greg Hawick,Greg,Hawick,NA,1932-05-03,03-05
5877,Johnny Hawke,Johnny,Hawke,NA,1925-05-07,07-05
10711,John Hayes,John,Hayes,NA,1939-05-25,25-05
8789,Charlie Hedley,Charlie,Hedley,NA,1881-03-08,08-03
911,Ivan Henjak,Ivan,Henjak,NA,1963-03-09,09-03
3653,Arthur Hennessy,Arthur,Hennessy,NA,1876-09-24,24-09
5544,Neil Henry,Neil,Henry,NA,1961-01-23,23-01
5805,Vic Hey,Vic,Hey,The Human Bullet,1912-11-18,18-11
3620,Jack Hickey,Jack,Hickey,NA,1887-01-04,04-01
10890,Merv Hicks,Merv,Hicks,Pale Whale,1943-12-15,15-12
6098,Ray Higgs,Ray,Higgs,NA,NA,NA
1538,Ron Hilditch,Ron,Hilditch,NA,1953-08-13,13-08
23968,Craig Hodges,Craig,Hodges,NA,1973-12-27,27-12
11089,Kevin Hogan,Kevin,Hogan,NA,1945-01-15,15-01
1724,Justin Holbrook,Justin,Holbrook,NA,1976-01-13,13-01
11821,Bert Holcroft,Bert,Holcroft,NA,1925-08-08,08-08
5894,Keith Holman,Keith,Holman,NA,1925-09-11,11-09
801,Ben Hornby,Ben,Hornby,NA,1980-02-10,10-02
7488,George Hunter,George,Hunter,NA,1929-10-13,13-10
2841,Murray Hurst,Murray,Hurst,NA,NA,NA
9771,Frank Hyde,Frank,Hyde,NA,1916-02-07,07-02
183,Tony Iro,Tony,Iro,NA,1967-05-30,30-05
7481,Clarrie Jeffreys,Clarrie,Jeffreys,NA,1932-08-06,06-08
9305,Harold Johnson,Harold,Johnson,NA,1906-07-18,18-07
5381,Albert Johnston,Albert,Johnston,NA,1892-05-10,10-05
9743,Frank Johnston,Frank,Johnston,NA,1914-08-12,12-08
5887,Ian Johnston,Ian,Johnston,NA,1927-03-01,01-03
5578,Alan Jones,Alan,Jones,NA,1941-04-13,13-04
161,Stacey Jones,Stacey,Jones,NA,1976-05-07,07-05
5760,Arthur Justice,Arthur,Justice,NA,1902-12-08,08-12
9393,Harry Kadwell,Harry,Kadwell,NA,1902-12-01,01-12
5922,Ken Kearney,Ken,Kearney,NA,1924-05-03,03-05
350,Stephen Kearney,Stephen,Kearney,NA,1972-06-11,11-06
5424,Bill Kelly,Bill,Kelly,NA,1890-11-09,09-11
9644,Len Kelly,Len,Kelly,NA,1913-06-17,17-06
5960,Noel Kelly,Noel,Kelly,NA,1936-01-22,22-01
1840,Tony Kemp,Tony,Kemp,NA,1968-01-18,18-01
293,Brett Kimmorley,Brett,Kimmorley,NA,1976-09-15,15-09
6024,Johnny King,Johnny,King,NA,1942-07-02,02-07
738,Matt King,Matt,King,NA,1980-08-22,22-08
9860,Roy Kirkaldy,Roy,Kirkaldy,NA,1910-03-26,26-03
3439,Arthur Kitinas,Arthur,Kitinas,NA,1959-11-29,29-11
97,Terry Lamb,Terry,Lamb,Baa Baa,1961-09-15,15-09
915,Dean Lance,Dean,Lance,NA,1959-04-04,04-04
1510,John Lang,John,Lang,NA,1950-11-07,07-11
5999,Graeme Langlands,Graeme,Langlands,NA,1941-09-02,02-09
549,Paul Langmack,Paul,Langmack,NA,1965-05-10,10-05
5729,Reg Latta,Reg,Latta,NA,1897-02-25,25-02
733,Jim Lenihan,Jim,Lenihan,NA,1973-05-16,16-05
5820,Eric Lewis,Eric,Lewis,NA,1909-09-20,20-09
892,Wally Lewis,Wally,Lewis,NA,1959-12-01,01-12
1001,Bob Lindner,Bob,Lindner,Bustling,1962-11-10,10-11
5579,Peter Louis,Peter,Louis,NA,1945-01-18,18-01
3738,Graham Lowe,Graham,Lowe,NA,1946-10-02,02-10
3654,Denis Lutge,Denis,Lutge,NA,1879-11-26,26-11
11814,Charlie Lynch,Charlie,Lynch,NA,NA,NA
5984,Ron Lynch,Ron,Lynch,NA,1939-06-12,12-06
1822,Michael Maguire,Michael,Maguire,NA,1974-02-05,05-02
312,Benji Marshall,Benji,Marshall,NA,1985-02-25,25-02
6141,Steve Martin,Steve,Martin,NA,1957-01-07,07-01
10606,Alan Mason,Alan,Mason,NA,1934-07-03,03-07
9387,George Mason,George,Mason,NA,1906-10-08,08-10
7441,Roy Masters,Roy,Masters,NA,1941-10-15,15-10
236,Terry Matterson,Terry,Matterson,NA,1967-03-04,04-03
9560,Harry Matthews,Harry,Matthews,NA,1909-07-19,19-07
5882,Col Maxwell,Col,Maxwell,NA,1917-06-23,23-06
3607,Tom McCabe,Tom,McCabe,NA,1881-08-16,16-08
6059,Bob McCarthy,Bob,McCarthy,NA,1944-08-05,05-08
11823,Owen McCarthy,Owen,McCarthy,NA,1882-11-26,26-11
3410,Brian McClennan,Brian,McClennan,NA,1962-01-01,01-01
5410,Paddy McCue,Paddy,McCue,NA,1883-06-24,24-06
1478,Andrew McFadden,Andrew,McFadden,NA,1978-01-20,20-01
966,Hugh McGahan,Hugh,McGahan,Paddles,1961-11-15,15-11
558,Paul McGregor,Paul,McGregor,Mary,1967-12-31,31-12
11819,Albert McGuinness,Albert,McGuinness,NA,1916-03-25,25-03
9846,Harry McKinnon,Harry,McKinnon,NA,1910-03-16,16-03
5815,Ross McKinnon,Ross,McKinnon,NA,1914-04-12,12-04
3623,Chris McKivat,Chris,McKivat,NA,1879-11-27,27-11
10245,Peter McLean,Peter,McLean,NA,1925-01-12,12-01
3807,Allan McMahon,Allan,McMahon,NA,1954-08-09,09-08
11817,Tom McMahon,Tom,McMahon,NA,NA,NA
5774,Frank McMillan,Frank,McMillan,Skinny,1899-12-14,14-12
2832,Shaun McRae,Shaun,McRae,Bomber,1959-12-21,21-12
5806,Les Mead,Les,Mead,NA,1909-06-09,09-06
918,Mal Meninga,Mal,Meninga,NA,1960-07-08,08-07
3580,Dally Messenger,Dally,Messenger,NA,1883-04-12,12-04
3465,Ian Millward,Ian,Millward,Basil,1960-08-22,22-08
3554,John Monie,John,Monie,NA,1946-10-06,06-10
6038,Brian Moore,Brian,Moore,NA,1944-04-19,19-04
1243,Kevin Moore,Kevin,Moore,NA,1965-11-30,30-11
762,John Morris,John,Morris,NA,1980-07-29,29-07
13774,Peter Mulholland,Peter,Mulholland,NA,1953-11-30,30-11
9567,George Mullins,George,Mullins,NA,1907-09-07,07-09
2826,Graham Murray,Graham,Murray,Muzza,1955-01-06,06-01
1533,Mark Murray,Mark,Murray,NA,1959-05-01,01-05
5838,Herb Narvo,Herb,Narvo,NA,1912-08-19,19-08
11076,Louis Neumann,Louis,Neumann,NA,1936-02-25,25-02
3624,Bill Noble,Bill,Noble,NA,1884-07-13,13-07
5789,Ernie Norman,Ernie,Norman,Bunty,1912-08-12,12-08
5404,Ray Norman,Ray,Norman,NA,1888-10-10,10-10
7454,Brian Norton,Brian,Norton,Chicka,1944-12-27,27-12
10310,Leo Nosworthy,Leo,Nosworthy,NA,1927-09-25,25-09
29763,Adam O'Brien,Adam,O'Brien,NA,1977-10-26,26-10
5862,Wally O'Connell,Wally,O'Connell,NA,1923-04-16,16-04
5793,Frank O'Connor,Frank,O'Connor,NA,1906-11-25,25-11
9252,Leo O'Connor,Leo,O'Connor,NA,1898-05-02,02-05
6069,John O'Neill,John,O'Neill,NA,1943-05-09,09-05
11813,Jack O'Reilly,Jack,O'Reilly,NA,NA,NA
4342,John O'Toole,John,O'Toole,NA,NA,NA
5978,Don Parish,Don,Parish,NA,1937-10-31,31-10
10492,Tony Paskins,Tony,Paskins,NA,1927-12-05,05-12
9783,Arthur Patton,Arthur,Patton,NA,1915-05-21,21-05
100,Dean Pay,Dean,Pay,NA,1969-06-03,03-06
313,Todd Payten,Todd,Payten,NA,1979-01-18,18-01
5769,Cliff Pearce,Cliff,Pearce,NA,1907-04-04,04-04
7416,Joe Pearce,Joe,Pearce,NA,1910-09-07,07-09
3674,Sandy Pearce,Sandy,Pearce,NA,1883-05-31,31-05
873,Wayne Pearce,Wayne,Pearce,NA,1960-03-29,29-03
6109,John Peard,John,Peard,Bomber,1945-01-15,15-01
10827,Roger Pearman,Roger,Pearman,NA,1939-09-05,05-09
11812,Russ Pepperell,Russ,Pepperell,NA,NA,NA
9040,Herman Peters,Herman,Peters,NA,1899-04-18,18-04
3789,Greg Pierce,Greg,Pierce,NA,1950-03-04,04-03
6110,George Piggins,George,Piggins,NA,1944-10-14,14-10
5938,Dick Poole,Dick,Poole,NA,1930-11-27,27-11
5945,Norm Pope,Norm,Pope,NA,NA,NA
9628,Harry Porter,Harry,Porter,Tarzan,1910-07-03,03-07
508,Michael Potter,Michael,Potter,NA,1963-09-24,24-09
5387,Clarrie Prentice,Clarrie,Prentice,NA,1891-07-01,01-07
1536,Ray Price,Ray,Price,Mr Perpetual Motion,1953-03-04,04-03
3083,Steven Price,Steven,Price,NA,1977-09-05,05-09
5930,Norm Provan,Norm,Provan,NA,1932-12-18,18-12
5900,Bernie Purcell,Bernie,Purcell,NA,1928-01-19,19-01
5964,John Raper,John,Raper,NA,1939-04-12,12-04
2553,Stuart Raper,Stuart,Raper,NA,1965-01-05,05-01
1520,Tom Raudonikis,Tom,Raudonikis,NA,1950-04-13,13-04
5865,Jack Rayner,Jack,Rayner,NA,1921-04-11,11-04
1507,Rod Reddy,Rod,Reddy,NA,1954-03-01,01-03
7446,Barry Reilly,Barry,Reilly,NA,1947-03-24,24-03
5594,Malcolm Reilly,Malcolm,Reilly,NA,1948-01-19,19-01
5954,Ray Ritchie,Ray,Ritchie,NA,1936-10-31,31-10
9034,George Robinson,George,Robinson,NA,1894-08-29,29-08
9267,Norm Robinson,Norm,Robinson,NA,1901-01-29,29-01
2924,Trent Robinson,Trent,Robinson,NA,1977-03-15,15-03
14141,Graham Rogers,Graham,Rogers,Buck,1941-11-18,18-11
5781,Eddie Root,Eddie,Root,NA,1902-06-26,26-06
3656,Johnny Rosewell,Johnny,Rosewell,NA,1880-11-23,23-11
