match_id,coach_id,team
8176,3653,South Sydney Rabbitohs
8173,3607,Glebe
8174,3612,Balmain Tigers
8179,3612,Balmain Tigers
8177,3607,Glebe
8178,3653,South Sydney Rabbitohs
8180,3653,South Sydney Rabbitohs
8182,3612,Balmain Tigers
8184,3653,South Sydney Rabbitohs
8181,3607,Glebe
8188,3612,Balmain Tigers
8185,3607,Glebe
8192,3607,Glebe
8191,3653,South Sydney Rabbitohs
8195,3612,Balmain Tigers
8194,3607,Glebe
8194,3653,South Sydney Rabbitohs
8198,3612,Balmain Tigers
8198,3607,Glebe
8197,3653,South Sydney Rabbitohs
8204,3607,Glebe
8202,3612,Balmain Tigers
8206,3612,Balmain Tigers
8206,3653,South Sydney Rabbitohs
8212,3607,Glebe
8212,3612,Balmain Tigers
8210,3653,South Sydney Rabbitohs
8214,8623,South Sydney Rabbitohs
8214,3607,Glebe
8215,8623,South Sydney Rabbitohs
8216,3612,Balmain Tigers
8216,3653,South Sydney Rabbitohs
8223,3612,Balmain Tigers
8221,3653,South Sydney Rabbitohs
8226,3653,South Sydney Rabbitohs
8227,3612,Balmain Tigers
8231,3653,South Sydney Rabbitohs
8230,3612,Balmain Tigers
8234,3612,Balmain Tigers
8232,3653,South Sydney Rabbitohs
8238,3612,Balmain Tigers
8237,3653,South Sydney Rabbitohs
8241,3612,Balmain Tigers
8242,3653,South Sydney Rabbitohs
8244,3612,Balmain Tigers
8247,3653,South Sydney Rabbitohs
8251,3612,Balmain Tigers
8248,3653,South Sydney Rabbitohs
8252,3612,Balmain Tigers
8255,3653,South Sydney Rabbitohs
8256,3612,Balmain Tigers
8257,3653,South Sydney Rabbitohs
8712,3623,Glebe
8714,3674,Eastern Suburbs
8711,8775,North Sydney
8711,3653,South Sydney Rabbitohs
8713,8691,Western Suburbs Magpies
8713,3582,Balmain Tigers
8715,3653,South Sydney Rabbitohs
8717,3582,Balmain Tigers
8717,3623,Glebe
8718,3674,Eastern Suburbs
8718,8691,Western Suburbs Magpies
8716,8775,North Sydney
8719,3582,Balmain Tigers
8719,3653,South Sydney Rabbitohs
8722,3623,Glebe
8722,3674,Eastern Suburbs
8720,8775,North Sydney
8721,8691,Western Suburbs Magpies
8724,3582,Balmain Tigers
8724,8775,North Sydney
8725,3674,Eastern Suburbs
8725,3653,South Sydney Rabbitohs
8723,3623,Glebe
8723,8691,Western Suburbs Magpies
8727,3582,Balmain Tigers
8728,3674,Eastern Suburbs
8728,8775,North Sydney
8729,3623,Glebe
8730,8691,Western Suburbs Magpies
8730,3653,South Sydney Rabbitohs
8731,3674,Eastern Suburbs
8734,3582,Balmain Tigers
8732,8775,North Sydney
8732,8691,Western Suburbs Magpies
8733,3653,South Sydney Rabbitohs
8733,3623,Glebe
8736,3582,Balmain Tigers
8736,3674,Eastern Suburbs
8735,3623,Glebe
8735,8775,North Sydney
8738,3653,South Sydney Rabbitohs
8737,8691,Western Suburbs Magpies
8739,3623,Glebe
8740,3582,Balmain Tigers
8740,8691,Western Suburbs Magpies
8741,3674,Eastern Suburbs
8742,3653,South Sydney Rabbitohs
8742,8775,North Sydney
8745,3623,Glebe
8745,3582,Balmain Tigers
8744,8775,North Sydney
8743,3653,South Sydney Rabbitohs
8746,8691,Western Suburbs Magpies
8746,3674,Eastern Suburbs
8747,8775,North Sydney
8749,3674,Eastern Suburbs
8749,3623,Glebe
8748,8691,Western Suburbs Magpies
8750,3653,South Sydney Rabbitohs
8750,3582,Balmain Tigers
8753,8775,North Sydney
8753,3582,Balmain Tigers
8754,3653,South Sydney Rabbitohs
8754,3674,Eastern Suburbs
8752,8691,Western Suburbs Magpies
8752,3623,Glebe
8757,3582,Balmain Tigers
8755,3623,Glebe
8758,8775,North Sydney
8758,3674,Eastern Suburbs
8756,3653,South Sydney Rabbitohs
8756,8691,Western Suburbs Magpies
8760,3582,Balmain Tigers
8761,3674,Eastern Suburbs
8759,3623,Glebe
8759,3653,South Sydney Rabbitohs
8762,8691,Western Suburbs Magpies
8762,8775,North Sydney
8763,8691,Western Suburbs Magpies
8766,3674,Eastern Suburbs
8766,3582,Balmain Tigers
8764,3653,South Sydney Rabbitohs
8765,8775,North Sydney
8765,3623,Glebe
7178,902,Melbourne Storm
7178,2835,Wests Tigers
7179,6075,Brisbane Broncos
7179,2826,North Queensland Cowboys
7180,239,Warriors
7180,1070,Parramatta Eels
7181,211,Cronulla Sutherland Sharks
7181,1155,Penrith Panthers
7182,260,Manly Warringah Sea Eagles
7182,5544,Canberra Raiders
7183,2831,Newcastle Knights
7183,1236,Bulldogs
7184,469,Gold Coast Titans
7184,530,St George Illawarra Dragons
7185,1515,Sydney Roosters
7185,243,South Sydney Rabbitohs
7187,1155,Penrith Panthers
7187,1236,Bulldogs
7186,530,St George Illawarra Dragons
7186,2831,Newcastle Knights
7188,2835,Wests Tigers
7188,260,Manly Warringah Sea Eagles
