player_id,full_name,first_name,last_name,nickname,birthday,birthdate,birthplace,total_matches,total_points
12446,Edgar Hurford,Edgar,Hurford,NA,1875-06-14,14-06,"Bathurst, New South Wales, Australia",4,4
47115,Fred Fry,Fred,Fry,NA,1884-12-12,12-12,NA,5,-
8698,Ernie Burdett,Ernie,Burdett,Ponk,NA,NA,"Melbourne, Victoria, Australia",101,51
8670,Johnno Stuntz,Johnno,Stuntz,NA,1885-06-27,27-06,"Sydney, New South Wales, Australia",16,35
12447,Jack Scott,Jack,Scott,NA,1888-01-31,31-01,"Petersham, New South Wales, Australia",10,28
8633,William Smith,William,Smith,NA,1886-11-15,15-11,NA,22,23
3650,Frank Cheadle,Frank,Cheadle,NA,1885-11-07,07-11,"Wollongong, New South Wales, Australia",17,21
8635,David Brown,David,Brown,NA,1886-05-13,13-05,"Sydney, New South Wales, Australia",21,6
12187,Lindsay Fairburn,Lindsay,Fairburn,NA,1885-07-17,17-07,"Petersham, New South Wales, Australia",1,-
3603,Dan Frawley,Dan,Frawley,NA,1882-12-15,15-12,"Sydney, New South Wales, Australia",71,204
12448,Cec Manton,Cec,Manton,NA,NA,NA,"Paddington, New South Wales, Australia",11,3
3604,Albert Rosenfeld,Albert,Rosenfeld,Rozzy,1885-07-28,28-07,"Sydney, New South Wales, Australia",12,20
12449,Joe MacFarlane,Joe,MacFarlane,NA,NA,NA,NA,7,-
8638,Lou d'Alpuget,Lou,d'Alpuget,Mick,1880-02-04,04-02,"Wodonga, Victoria, Australia",17,6
12453,Chris Powell,Chris,Powell,NA,1889-04-30,30-04,"Sydney, New South Wales, Australia",9,-
8639,Bob Mable,Bob,Mable,NA,1884-01-04,04-01,"London, Greater London, England",28,6
12452,James Williams,James,Williams,NA,1887-09-26,26-09,"Sydney, New South Wales, Australia",3,3
3682,Lou Jones,Lou,Jones,Baby,1884-08-04,04-08,"Sydney, New South Wales, Australia",11,15
12451,Thomas McIntosh,Thomas,McIntosh,NA,1882-03-15,15-03,"Glebe, New South Wales, Australia",14,-
3584,Larry O'Malley,Larry,O'Malley,NA,1883-04-02,02-04,"Fair Hill, Ireland",53,18
8691,Ed Courtney,Ed,Courtney,Tedda,1884-08-29,29-08,"Townsville, Queensland, Australia",180,119
3638,Herb Brackenreg,Herb,Brackenreg,NA,1876-08-07,07-08,"Scone, New South Wales, Australia",11,40
3624,Bill Noble,Bill,Noble,NA,1884-07-13,13-07,"Goulburn, New South Wales, Australia",61,27
3674,Sandy Pearce,Sandy,Pearce,NA,1883-05-31,31-05,"Double Bay, New South Wales, Australia",157,17
12450,Harry Hamill,Harry,Hamill,NA,1879-03-15,15-03,"Redfern, New South Wales, Australia",6,3
8640,Harry Flegg,Harry,Flegg,NA,1878-04-06,06-04,"Bolton, Greater Manchester, England",11,9
12539,Rudolph Hoenger,Rudolph,Hoenger,NA,1878-04-13,13-04,"Adelaide, South Australia, Australia",3,-
8636,Horrie Miller,Horrie,Miller,NA,1882-07-17,17-07,"Sydney, New South Wales, Australia",16,56
8668,Bill Whitfield,Bill,Whitfield,NA,1884-10-16,16-10,"Mudgee, New South Wales, Australia",19,16
8625,Arthur Conlin,Arthur,Conlin,NA,1883-04-11,11-04,"Sydney, New South Wales, Australia",30,105
