ref_id,full_name,first_name,last_name,nickname,birthday,birthdate
42070,Rob Alexander,Rob,Alexander,NA,NA,NA
42066,Neil Almond,Neil,Almond,NA,NA,NA
42078,Graham Annesley,Graham,Annesley,NA,1957-05-26,26-05
42083,Tony Archer,Tony,Archer,NA,NA,NA
42499,Grant Atkins,Grant,Atkins,NA,1982-04-03,03-04
42093,Gavin Badger,Gavin,Badger,NA,NA,NA
42851,Kasey Badger,Kasey,Badger,NA,1987-03-11,11-03
42338,Leo Baggott,Leo,Baggott,NA,1901-09-12,12-09
42225,Arthur Ballerum,Arthur,Ballerum,NA,1885-04-11,11-04
42137,Barry Barnes,Barry,Barnes,NA,NA,NA
42277,Brian Barry,Brian,Barry,NA,1924-02-06,06-02
42330,J Bates,J,Bates,NA,NA,NA
42281,Gary Bennett,Gary,Bennett,NA,NA,NA
5776,George Bishop,George,Bishop,NA,1902-11-19,19-11
42152,Noel Bissett,Noel,Bissett,NA,1937-12-01,01-12
42236,Joe Black,Joe,Black,NA,NA,NA
42233,A Bolton,A,Bolton,NA,NA,NA
42221,George Boss,George,Boss,NA,NA,NA
42447,G Boyd,G,Boyd,NA,NA,NA
42145,Greg Boyd,Greg,Boyd,NA,NA,NA
10442,Jack Bradley,Jack,Bradley,NA,NA,NA
11623,Barry Bradstock,Barry,Bradstock,NA,NA,NA
42287,George Braine,George,Braine,NA,NA,NA
42250,Mick Brannaghan,Mick,Brannaghan,NA,NA,NA
42143,Denis Braybrook,Denis,Braybrook,NA,NA,NA
42367,C Brown,C,Brown,NA,NA,NA
42289,Cliff Brown,Cliff,Brown,NA,NA,NA
42234,S Brown,S,Brown,NA,NA,NA
42269,Laurie Bruyeres,Laurie,Bruyeres,NA,1923-07-12,12-07
42240,J Buchanan,J,Buchanan,NA,NA,NA
42320,Eric Buckley,Eric,Buckley,NA,NA,NA
42614,Chris Butler,Chris,Butler,NA,NA,NA
42216,Marcel Caillol,Marcel,Caillol,NA,NA,NA
42085,Steve Carrall,Steve,Carrall,NA,NA,NA
42328,H Carrick,H,Carrick,NA,NA,NA
42908,Adam Cassidy,Adam,Cassidy,NA,NA,NA
42086,Matt Cecchin,Matt,Cecchin,NA,NA,NA
42079,Steve Chiddy,Steve,Chiddy,NA,NA,NA
42305,A Christie,A,Christie,NA,NA,NA
9057,George Clamback,George,Clamback,Clammy,1894-06-30,30-06
42076,Steve Clark,Steve,Clark,NA,NA,NA
42350,W Cole,W,Cole,NA,NA,NA
42501,Ernie Cook,Ernie,Cook,NA,NA,NA
42205,Gary Cook,Gary,Cook,NA,NA,NA
42267,T Cook,T,Cook,NA,NA,NA
42115,Phil Cooley,Phil,Cooley,NA,1951-09-18,18-09
42198,Tom Costello,Tom,Costello,NA,NA,NA
10018,Bert Cowley,Bert,Cowley,NA,1923-06-12,12-06
42282,Barry Cross,Barry,Cross,NA,NA,NA
42313,Bill Cuke,Bill,Cuke,NA,NA,NA
42134,Ben Cummins,Ben,Cummins,NA,1974-02-14,14-02
42315,Bob Cummins,Bob,Cummins,NA,NA,NA
10668,Jack Danzey Jnr,Jack,Danzey Jnr,NA,1939-07-09,09-07
42369,A Davis,A,Davis,NA,NA,NA
42262,Arthur Davis,Arthur,Davis,NA,NA,NA
42130,Tony De Las Heras,Tony,De Las Heras,NA,NA,NA
8846,Lal Deane,Lal,Deane,NA,1892-08-02,02-08
42244,Frank Delaney,Frank,Delaney,NA,NA,NA
42421,Adam Devcich,Adam,Devcich,NA,NA,NA
42314,Bill Devine,Bill,Devine,NA,NA,NA
42232,Tom Dickenson,Tom,Dickenson,NA,NA,NA
42245,Vic Dickenson,Vic,Dickenson,NA,NA,NA
42317,Cyril Dimon,Cyril,Dimon,NA,NA,NA
42256,Reg Drake,Reg,Drake,NA,NA,NA
42280,Clive Edwards,Clive,Edwards,NA,NA,NA
42275,Phil Elliss,Phil,Elliss,NA,1932-10-15,15-10
42322,Fred Erickson,Fred,Erickson,NA,NA,NA
42283,Francois Escande,Francois,Escande,NA,NA,NA
42273,Jack Farrelly,Jack,Farrelly,NA,NA,NA
42226,Arthur Farrow,Arthur,Farrow,NA,NA,NA
42096,Peter Filmer,Peter,Filmer,NA,NA,NA
42223,Bill Finegan,Bill,Finegan,NA,NA,NA
42319,E Fletcher,E,Fletcher,NA,NA,NA
42091,Bob Flint,Bob,Flint,NA,NA,NA
42258,Bill Fry,Bill,Fry,NA,NA,NA
43188,Darian Furner,Darian,Furner,NA,NA,NA
42498,Adam Gee,Adam,Gee,NA,1985-05-31,31-05
42104,John Gocher,John,Gocher,NA,NA,NA
42142,David Goener,David,Goener,NA,NA,NA
42139,Barry Goldsworthy,Barry,Goldsworthy,NA,NA,NA
42697,Peter Gough,Peter,Gough,NA,NA,NA
42075,Brian Grant,Brian,Grant,NA,NA,NA
42150,Lionel Green,Lionel,Green,NA,NA,NA
42291,Phil Haines,Phil,Haines,NA,NA,NA
42323,George Hallwood,George,Hallwood,NA,NA,NA
42074,Sean Hampstead,Sean,Hampstead,NA,NA,NA
11397,Lance Hansen,Lance,Hansen,NA,1885-01-28,28-01
42246,O Harding,O,Harding,NA,NA,NA
42077,Bill Harrigan,Bill,Harrigan,NA,1960-03-24,24-03
42271,Jack Harris,Jack,Harris,NA,1933-04-05,05-04
12514,Greg Hartley,Greg,Hartley,Hollywood,1942-07-19,19-07
42087,Shayne Hayne,Shayne,Hayne,NA,1967-10-31,31-10
8789,Charlie Hedley,Charlie,Hedley,NA,1881-03-08,08-03
42804,Phil Henderson,Phil,Henderson,NA,1983-10-17,17-10
42364,Fred Henlen,Fred,Henlen,NA,NA,NA
42072,Matt Hewitt,Matt,Hewitt,NA,NA,NA
42344,S Heycox,S,Heycox,NA,NA,NA
5894,Keith Holman,Keith,Holman,NA,1925-09-11,11-09
42220,Edward Hooper,Edward,Hooper,NA,NA,NA
42067,Phil Houston,Phil,Houston,NA,NA,NA
42279,Richie Humphreys,Richie,Humphreys,NA,NA,NA
42200,Charlie Hutchison,Charlie,Hutchison,NA,NA,NA
42237,W Iredale,W,Iredale,NA,NA,NA
42329,H Irvine,H,Irvine,NA,NA,NA
42368,C Jackson,C,Jackson,NA,NA,NA
42249,S Jackson,S,Jackson,NA,NA,NA
42331,Jack Jacobson,Jack,Jacobson,NA,NA,NA
42080,Moghseen Jadwat,Moghseen,Jadwat,NA,NA,NA
42375,Chris James,Chris,James,NA,NA,NA
42065,David Jay,David,Jay,NA,NA,NA
42081,Kelvin Jeffes,Kelvin,Jeffes,NA,NA,NA
42345,S Jolly,S,Jolly,NA,NA,NA
42158,Laurie Kearney,Laurie,Kearney,NA,NA,NA
42140,Barrie Keenahan,Barrie,Keenahan,NA,1942-07-20,20-07
42324,George Kellahan,George,Kellahan,NA,NA,NA
42272,Bill Kelly,Bill,Kelly,NA,NA,NA
9467,Jack Kelly,Jack,Kelly,NA,1909-06-05,05-06
42090,Tony Kelly,Tony,Kelly,NA,NA,NA
42813,Liam Kennedy,Liam,Kennedy,NA,NA,NA
42337,Kevin Keough,Kevin,Keough,NA,NA,NA
42251,Ted Kerr,Ted,Kerr,NA,NA,NA
42116,Ashley Klein,Ashley,Klein,NA,1979-09-06,06-09
42306,A Konnecke,A,Konnecke,NA,NA,NA
42185,Don Lancashire,Don,Lancashire,NA,1932-10-03,03-10
42325,George Lane,George,Lane,NA,NA,NA
10157,Carl Langton,Carl,Langton,NA,1920-06-29,29-06
42613,Edward Larkin,Edward,Larkin,NA,NA,NA
42265,Jack Latta,Jack,Latta,NA,1909-04-07,07-04
42175,Darcy Lawler,Darcy,Lawler,NA,NA,NA
42082,Rod Lawrence,Rod,Lawrence,NA,NA,NA
20766,Phil Lee,Phil,Lee,NA,NA,NA
42068,Mick Lewis,Mick,Lewis,NA,NA,NA
42340,Richard Lewis,Richard,Lewis,NA,NA,NA
42254,W Long,W,Long,NA,NA,NA
42307,A Lupton,A,Lupton,NA,NA,NA
42088,Steve Lyons,Steve,Lyons,NA,NA,NA
42284,Neil McAlister,Neil,McAlister,NA,NA,NA
42062,Paul McBlane,Paul,McBlane,NA,NA,NA
42098,Greg McCallum,Greg,McCallum,NA,NA,NA
10423,Phil McCarroll,Phil,McCarroll,NA,NA,NA
42222,M McDermott,M,McDermott,NA,NA,NA
42334,Joe McGauley,Joe,McGauley,NA,NA,NA
9127,Chris McGrath,Chris,McGrath,NA,NA,NA
12451,Thomas McIntosh,Thomas,McIntosh,NA,1882-03-15,15-03
6065,Allan McKean,Allan,McKean,NA,1942-12-11,11-12
42347,Tom McMahon Jnr,Tom,McMahon Jnr,NA,NA,NA
