venue_id,venue_name,non-commercial_name,location,country,states,cities
105,Wentworth Park,Wentworth Park,"Glebe, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
150,Birchgrove Oval,Birchgrove Oval,"Birchgrove, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
103,Royal Agricultural Society Showground,Royal Agricultural Society Showground,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
160,Newcastle Showgrounds,Newcastle Showgrounds,"Broadmeadow, Newcastle, New South Wales, Australia",Australia,New South Wales,Newcastle
149,Cbus Super Stadium,Robina Stadium,"Robina, Gold Coast, Queensland, Australia",Australia,Queensland,Gold Coast
251,AAMI Park,Melbourne Rectangular Stadium,"Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
167,Eden Park,Eden Park,"Auckland, Auckland, New Zealand",New Zealand,Auckland,Auckland
306,Owen Delany Park,Owen Delany Park,"Taupo, Waikato, New Zealand",New Zealand,Waikato,Taupo
423,TIO Stadium,Marrara Stadium,"Darwin, Northern Territory, Australia",Australia,Northern Territory,Darwin
438,BB Print Stadium,Stadium Mackay,"Mackay, Queensland, Australia",Australia,Queensland,Mackay
439,Patersons Stadium,Patersons Stadium,"Perth, Western Australia, Australia",Australia,Western Australia,Perth
432,Glen Willow Oval,Glen Willow Oval,"Mudgee, New South Wales, Australia",Australia,New South Wales,Mudgee
393,Barlow Park,Barlow Park,"Cairns, Queensland, Australia",Australia,Queensland,Cairns
108,Carrington Park,Carrington Park,"Bathurst, New South Wales, Australia",Australia,New South Wales,Bathurst
309,Lavington Sports Ground,Lavington Sports Ground,"Albury, New South Wales, Australia",Australia,New South Wales,Albury
475,McLean Park,McLean Park,"Napier, Hawke's Bay, New Zealand",New Zealand,Hawke's Bay,Napier
134,Apollo Projects Stadium,Rugby League Park,"Christchurch, Canterbury, New Zealand",New Zealand,Canterbury,Christchurch
713,Yarrow Stadium,Yarrow Stadium,"New Plymouth, Taranaki, New Zealand",New Zealand,Taranaki,New Plymouth
492,Forsyth Barr Stadium,Forsyth Barr Stadium,"Dunedin, Otago, New Zealand",New Zealand,Otago,Dunedin
190,FMG Stadium,Palmerston North Showgrounds,"Palmerston North, Manawatu-Wanganui, New Zealand",New Zealand,Manawatu-Wanganui,Palmerston North
804,Optus Stadium,Perth Stadium,"Perth, Western Australia, Australia",Australia,Western Australia,Perth
399,Clive Berghofer Stadium,Athletic Oval,"Toowoomba, Queensland, Australia",Australia,Queensland,Toowoomba
803,Marley Brown Oval,Marley Brown Oval,"Gladstone, Queensland, Australia",Australia,Queensland,Gladstone
409,Scully Park,Scully Park,"Tamworth, New South Wales, Australia",Australia,New South Wales,Tamworth
939,Sunshine Coast Stadium,Sunshine Coast Stadium,"Kawana Waters, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
940,CommBank Stadium,Western Sydney Stadium,"Parramatta, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
498,McDonalds Park,McDonalds Park,"Wagga Wagga, New South Wales, Australia",Australia,New South Wales,Wagga Wagga
985,Queensland Country Bank Stadium,North Queensland Stadium,"Townsville, Queensland, Australia",Australia,Queensland,Townsville
97,Apex Oval,Apex Oval,"Dubbo, New South Wales, Australia",Australia,New South Wales,Dubbo
130,C.ex Coffs International Stadium,Coffs Harbour International Stadium,"Coffs Harbour, New South Wales, Australia",Australia,New South Wales,Coffs Harbour
968,Kayo Stadium,Dolphin Stadium,"Redcliffe, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
198,Browne Park,Browne Park,"Rockhampton, Queensland, Australia",Australia,Queensland,Rockhampton
1092,Salter Oval,Salter Oval,"Bundaberg, Queensland, Australia",Australia,Queensland,Bundaberg
1096,Allianz Stadium,Sydney Football Stadium,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
119,Brisbane Cricket Ground,Brisbane Cricket Ground,"Woolloongabba, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
1290,Allegiant Stadium,Allegiant Stadium,"Paradise, Las Vegas, Nevada, United States of America",United States of America,Nevada,Las Vegas
111,Cumberland Oval,Cumberland Oval,"Parramatta, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
163,Sydney Cricket Ground No. 2,Sydney Cricket Ground No. 2,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
158,Marrickville Oval,Marrickville Oval,"Marrickville, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
157,Hurstville Oval,Hurstville Oval,"Hurstville, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
44,Redfern Oval,Redfern Oval,"Redfern, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
154,Earl Park,Earl Park,"Arncliffe, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
25,North Sydney Oval,North Sydney Oval,"North Sydney, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
159,Metters Sports Ground,Metters Sports Ground,"Erskineville, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
164,St Luke's Park,St Luke's Park,"Concord, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
153,Drummoyne Oval,Drummoyne Oval,"Drummoyne, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
152,Chatswood Oval,Chatswood Oval,"Chatswood, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
7,Leichhardt Oval,Leichhardt Oval,"Leichhardt, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
76,Henson Park,Henson Park,"Newtown, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
27,Belmore Sports Ground,Belmore Sports Ground,"Belmore, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
109,Sydney Sports Ground,Sydney Sports Ground,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
5,4 Pines Park,Brookvale Oval,"Brookvale, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
112,Pratten Park,Pratten Park,"Ashfield, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
23,Netstrata Jubilee Stadium,Jubilee Oval,"Kogarah, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
110,Lidcombe Oval,Lidcombe Oval,"Lidcombe, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
24,Sydney Cricket Ground,Sydney Cricket Ground,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
155,Erskineville Oval,Erskineville Oval,"Erskineville, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
3,BlueBet Stadium,Penrith Park,"Penrith, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
165,Sutherland Oval,Sutherland Oval,"Sutherland, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
156,Goulburn Showground,Goulburn Showground,"Goulburn, New South Wales, Australia",Australia,New South Wales,Goulburn
9,Sharks Stadium,Endeavour Field,"Cronulla, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
166,Trumper Oval,Trumper Oval,"Paddington, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
21,WIN Stadium,Wollongong Showground,"Wollongong, New South Wales, Australia",Australia,New South Wales,Wollongong
48,Seiffert Oval,Seiffert Oval,"Queanbeyan, New South Wales, Australia",Australia,New South Wales,Queanbeyan
19,Campbelltown Sports Stadium,Campbelltown Sports Stadium,"Campbelltown, New South Wales, Australia",Australia,New South Wales,Campbelltown
11,McDonald Jones Stadium,Hunter Stadium,"Newcastle, New South Wales, Australia",Australia,New South Wales,Newcastle
8,Parramatta Stadium,Parramatta Stadium,"Parramatta, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
1,Sydney Football Stadium (Old),Sydney Football Stadium (Old),"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
34,Seagulls Stadium,Chris Cunningham Field,"Tweed Heads West, Tweed Heads, New South Wales, Australia",Australia,New South Wales,Tweed Heads
22,Lang Park,Lang Park,"Milton, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
32,WACA Ground,WACA Ground,"East Perth, Perth, Western Australia, Australia",Australia,Western Australia,Perth
4,GIO Stadium,Canberra Stadium,"Canberra, Australian Capital Territory, Australia",Australia,Australian Capital Territory,Canberra
113,Townsville Sports Reserve,Townsville Sports Reserve,"Townsville, Queensland, Australia",Australia,Queensland,Townsville
35,Richardson Park,Richardson Park,"Darwin, Northern Territory, Australia",Australia,Northern Territory,Darwin
33,Adelaide Oval,Adelaide Oval,"Adelaide, South Australia, Australia",Australia,South Australia,Adelaide
114,Carlaw Park,Carlaw Park,"Auckland, Auckland, New Zealand",New Zealand,Auckland,Auckland
13,Queensland Sport and Athletics Centre,Queensland Sport and Athletics Centre,"Nathan, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
12,Olympic Park Stadium,Olympic Park,"Jolimont, Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
28,Metricon Stadium,Carrara,"Gold Coast, Queensland, Australia",Australia,Queensland,Gold Coast
49,Ikon Park,Princes Park,"Carlton North, Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
115,Concord Oval,Concord Oval,"Concord, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
6,Go Media Stadium,Mt Smart,"Penrose, Auckland, Auckland, New Zealand",New Zealand,Auckland,Auckland
