coach_id,full_name,first_name,last_name,nickname,birthday,birthdate
30128,Luisa Avaiki,Luisa,Avaiki,NA,NA,NA
44728,Darrin Borthwick,Darrin,Borthwick,NA,NA,NA
31595,Casey Bromilow,Casey,Bromilow,NA,1984-02-12,12-02
30276,Brad Donald,Brad,Donald,NA,NA,NA
30146,Paul Dyer,Paul,Dyer,NA,NA,NA
1383,Jamie Feeney,Jamie,Feeney,NA,1978-04-09,09-04
543,Steve Georgallis,Steve,Georgallis,NA,1968-06-17,17-06
33995,Ron Griffiths,Ron,Griffiths,NA,NA,NA
30127,Adam Hartigan,Adam,Hartigan,NA,1985-08-03,03-08
34645,Ricky Henry,Ricky,Henry,NA,NA,NA
392,Tony Herman,Tony,Herman,NA,1967-08-18,18-08
2350,Ben Jeffries,Ben,Jeffries,NA,1980-09-04,04-09
293,Brett Kimmorley,Brett,Kimmorley,NA,1976-09-15,15-09
30147,Daniel Lacey,Daniel,Lacey,NA,NA,NA
33957,Karyn Murphy,Karyn,Murphy,NA,1970-06-14,14-06
59,Scott Prince,Scott,Prince,NA,1980-02-27,27-02
1388,Jamie Soward,Jamie,Soward,NA,1984-11-13,13-11
1195,Rick Stone,Rick,Stone,NA,1967-02-14,14-02
17710,John Strange,John,Strange,NA,1975-01-22,22-01
771,Dean Widders,Dean,Widders,NA,1979-10-25,25-10
30181,Kelvin Wright,Kelvin,Wright,NA,1980-11-30,30-11
