match_id,coach_id,team
44896,30127,Sydney Roosters (W)
44896,30128,New Zealand Warriors (W)
44897,30146,Brisbane Broncos (W)
44897,30147,St George Illawarra Dragons (W)
44898,30127,Sydney Roosters (W)
44898,30146,Brisbane Broncos (W)
44899,30147,St George Illawarra Dragons (W)
44899,30128,New Zealand Warriors (W)
44900,30146,Brisbane Broncos (W)
44900,30128,New Zealand Warriors (W)
44901,30127,Sydney Roosters (W)
44901,30147,St George Illawarra Dragons (W)
44902,30146,Brisbane Broncos (W)
44902,30127,Sydney Roosters (W)
44903,1195,Sydney Roosters (W)
44903,30128,New Zealand Warriors (W)
44904,30147,St George Illawarra Dragons (W)
44904,30181,Brisbane Broncos (W)
44905,30181,Brisbane Broncos (W)
44905,1195,Sydney Roosters (W)
44906,30128,New Zealand Warriors (W)
44906,30147,St George Illawarra Dragons (W)
44907,30181,Brisbane Broncos (W)
44907,30128,New Zealand Warriors (W)
44908,30147,St George Illawarra Dragons (W)
44908,1195,Sydney Roosters (W)
44909,30181,Brisbane Broncos (W)
44909,30147,St George Illawarra Dragons (W)
44910,1383,Sydney Roosters (W)
44910,30147,St George Illawarra Dragons (W)
44911,30181,Brisbane Broncos (W)
44911,30276,New Zealand Warriors (W)
44933,30276,New Zealand Warriors (W)
44933,1383,Sydney Roosters (W)
44934,30147,St George Illawarra Dragons (W)
44934,30181,Brisbane Broncos (W)
44937,30147,St George Illawarra Dragons (W)
44937,30276,New Zealand Warriors (W)
44938,1383,Sydney Roosters (W)
44938,30181,Brisbane Broncos (W)
44945,30181,Brisbane Broncos (W)
44945,1383,Sydney Roosters (W)
45777,1388,St George Illawarra Dragons (W)
45777,1383,Gold Coast Titans (W)
45778,17710,Sydney Roosters (W)
45778,30181,Brisbane Broncos (W)
45779,31595,Newcastle Knights (W)
45779,771,Parramatta Eels (W)
45784,31595,Newcastle Knights (W)
45784,30181,Brisbane Broncos (W)
45785,17710,Sydney Roosters (W)
45785,1383,Gold Coast Titans (W)
45786,1388,St George Illawarra Dragons (W)
45786,771,Parramatta Eels (W)
45795,17710,Sydney Roosters (W)
45795,31595,Newcastle Knights (W)
45796,1388,St George Illawarra Dragons (W)
45796,30181,Brisbane Broncos (W)
45797,771,Parramatta Eels (W)
45797,1383,Gold Coast Titans (W)
45915,1383,Gold Coast Titans (W)
45915,30181,Brisbane Broncos (W)
45917,31595,Newcastle Knights (W)
45917,1388,St George Illawarra Dragons (W)
45916,771,Parramatta Eels (W)
45916,17710,Sydney Roosters (W)
46057,1388,St George Illawarra Dragons (W)
46057,17710,Sydney Roosters (W)
46059,30181,Brisbane Broncos (W)
46059,771,Parramatta Eels (W)
46058,1383,Gold Coast Titans (W)
46058,31595,Newcastle Knights (W)
46092,1388,St George Illawarra Dragons (W)
46092,1383,Gold Coast Titans (W)
46093,30181,Brisbane Broncos (W)
46093,17710,Sydney Roosters (W)
46102,1388,St George Illawarra Dragons (W)
46102,17710,Sydney Roosters (W)
52924,771,Parramatta Eels (W)
52924,17710,Sydney Roosters (W)
52925,1388,St George Illawarra Dragons (W)
52925,33957,Gold Coast Titans (W)
52926,33995,Newcastle Knights (W)
52926,30181,Brisbane Broncos (W)
52953,30181,Brisbane Broncos (W)
52953,17710,Sydney Roosters (W)
52954,771,Parramatta Eels (W)
52954,1388,St George Illawarra Dragons (W)
52955,33957,Gold Coast Titans (W)
52955,33995,Newcastle Knights (W)
53703,17710,Sydney Roosters (W)
53703,1388,St George Illawarra Dragons (W)
