player_id,full_name,first_name,last_name,nickname,birthday,birthdate,birthplace,total_matches,total_points
30093,Botille Vette-Welsh,Botille,Vette-Welsh,NA,1996-09-13,13-09,NA,28,20
30110,Apii Nicholls-Pualau,Apii,Nicholls-Pualau,NA,1993-02-26,26-02,NA,28,18
30094,Taleena Simon,Taleena,Simon,NA,1992-12-18,18-12,NA,5,20
30111,Langi Veainu,Langi,Veainu,NA,NA,NA,NA,3,-
30095,Shontelle Stowers,Shontelle,Stowers,NA,1986-11-14,14-11,NA,12,-
30112,Shontelle Woodman,Shontelle,Woodman,NA,NA,NA,NA,2,-
30096,Isabelle Kelly,Isabelle,Kelly,NA,1996-09-20,20-09,"Gosford, New South Wales, Australia",43,68
30113,Sarina Clark,Sarina,Clark,NA,NA,NA,NA,3,4
30097,Karina Brown,Karina,Brown,NA,1989-03-09,09-03,NA,32,12
30114,Hilda Mariu,Hilda,Mariu,NA,NA,NA,NA,9,4
30098,Lavina O'Mealey,Lavina,O'Mealey,NA,1984-03-26,26-03,NA,4,4
30115,Laura Mariu,Laura,Mariu,NA,NA,NA,NA,3,-
30099,Maddie Studdon,Maddie,Studdon,NA,1994-10-16,16-10,NA,14,35
30116,Georgia Hale,Georgia,Hale,NA,1995-08-09,09-08,"Auckland, Auckland, New Zealand",39,12
30100,Simaima Taufa,Simaima,Taufa,NA,1994-04-28,28-04,"Tofoa, Tonga",39,52
33613,Annetta Nu'uausala,Annetta,Nu'uausala,NA,1995-01-22,22-01,"Auckland, Auckland, New Zealand",24,12
30101,Kylie Hilder,Kylie,Hilder,NA,1976-04-01,01-04,NA,4,-
30118,Krystal Rota,Krystal,Rota,NA,1985-10-03,03-10,"Auckland, Auckland, New Zealand",10,-
30102,Elianna Walton,Elianna,Walton,NA,1984-12-18,18-12,"Auckland, Auckland, New Zealand",4,-
30119,Aieshaleigh Smalley,Aieshaleigh,Smalley,NA,NA,NA,NA,5,4
30103,Tazmin Gray,Tazmin,Gray,NA,1995-08-04,04-08,NA,32,28
30120,Onjeurlina Leiataua,Onjeurlina,Leiataua,NA,NA,NA,NA,6,4
30104,Vanessa Foliaki,Vanessa,Foliaki,NA,1993-08-22,22-08,NA,38,8
30121,Alice Varela,Alice,Varela,NA,NA,NA,NA,3,-
30105,Zahara Temara,Zahara,Temara,NA,1997-07-04,04-07,NA,42,200
30122,Luisa Gago,Luisa,Gago,NA,NA,NA,NA,3,4
