ref_id,full_name,first_name,last_name,nickname,birthday,birthdate
42851,Kasey Badger,Kasey,Badger,NA,1987-03-11,11-03
42834,Damian Brady,Damian,Brady,NA,NA,NA
42908,Adam Cassidy,Adam,Cassidy,NA,NA,NA
42944,Mitchell Currie,Mitchell,Currie,NA,NA,NA
43188,Darian Furner,Darian,Furner,NA,NA,NA
42697,Peter Gough,Peter,Gough,NA,NA,NA
43008,Martin Jones,Martin,Jones,NA,NA,NA
42813,Liam Kennedy,Liam,Kennedy,NA,NA,NA
43150,Daniel Luttringer,Daniel,Luttringer,NA,NA,NA
43004,Joshua McGowan,Joshua,McGowan,NA,NA,NA
43009,Ethan Menchin,Ethan,Menchin,NA,NA,NA
43053,Karra-Lee Nolan,Karra-Lee,Nolan,NA,NA,NA
42650,Matt Noyen,Matt,Noyen,NA,NA,NA
43011,Drew Oultram,Drew,Oultram,NA,1984-05-17,17-05
43152,Cameron Paddy,Cameron,Paddy,NA,NA,NA
42753,Nick Pelgrave,Nick,Pelgrave,NA,NA,NA
1692,Henry Perenara,Henry,Perenara,NA,1980-06-16,16-06
42748,Zbignew Przeklasa-Adamski,Zbignew,Przeklasa-Adamski,Ziggy,1986-12-01,01-12
43005,Wyatt Raymond,Wyatt,Raymond,NA,NA,NA
47125,Luke Saldern,Luke,Saldern,NA,NA,NA
43007,Daniel Schwass,Daniel,Schwass,NA,NA,NA
42916,Belinda Sharpe,Belinda,Sharpe,NA,NA,NA
42701,Jon Stone,Jon,Stone,NA,1982-06-29,29-06
43006,Jake Sutherland,Jake,Sutherland,NA,NA,NA
43113,Rochelle Tamarua,Rochelle,Tamarua,NA,NA,NA
43149,Clayton Wills,Clayton,Wills,NA,NA,NA
