match_id,ref_id
44896,42701
44896,43004
44897,42650
44897,42851
44898,42697
44898,43004
44899,42650
44899,43005
44900,42697
44900,43006
44901,42701
44901,42851
44902,42701
44902,42851
44903,42748
44903,43007
44904,42908
44904,43008
44905,42908
44905,43008
44906,42851
44906,43009
44907,42748
44907,43009
44908,42851
44908,43007
44909,42851
44909,43007
44910,42813
44911,1692
44933,43011
44934,42916
44937,42916
44938,42813
44945,42916
45777,43053
45778,42916
45779,42851
45784,42851
45785,43053
45786,42916
45795,43053
45796,42916
45797,42851
45915,42916
45917,43053
45916,42851
46057,42916
46059,42851
46058,43053
46092,42851
46093,42916
46102,42916
52924,42916
52925,43053
52926,42851
52953,42851
52954,42916
52955,43113
53703,42851
53704,42916
53705,43053
53729,43053
53730,42748
53731,42916
53744,42851
53745,42916
53746,42748
53768,42851
53769,42916
53776,42851
57011,42916
57012,43188
57013,43005
57014,43113
57015,42851
57016,42916
57017,43152
57018,43005
57019,42851
57020,43113
57021,43005
57022,42753
57023,43188
57024,42916
57025,42834
57026,42851
57027,42748
57028,43113
57029,42916
57030,42813
57031,42916
57032,42748
57033,43113
57034,43188
57035,42851
57036,43152
57037,42916
57038,42944
57039,43113
57040,42851
57041,43005
57042,42753
57043,42813
57044,43113
57045,43188
57046,43005
57047,43188
57048,42851
57049,42916
57050,43113
57051,43113
57052,43005
57053,42916
57054,43188
57055,42851
58464,42916
58465,42851
58466,42916
63019,42916
63020,42834
63021,43113
63022,43150
63023,43053
63024,43150
63025,42753
63026,47125
63027,42916
63028,43053
63033,43053
63032,42851
63029,43150
63030,42753
63031,47125
63034,43149
63035,42753
63036,47125
63037,43150
63038,42834
63039,42916
63040,47125
63041,43007
63042,43150
63043,43149
63044,42748
63045,43150
63046,47125
63047,43007
63048,42916
63053,43007
63049,43053
63050,42916
63051,47125
63052,42748
63054,47125
63055,43007
63056,42916
63057,42748
63058,43053
63059,43053
63060,43007
63061,42916
63062,47125
63063,42748
103141,42916
103142,42748
103148,42748
