venue_id,venue_name,non-commercial_name,location,country,states,cities
20,Accor Stadium,Stadium Australia,"Sydney Olympic Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
1097,Suncorp Stadium,Brisbane Stadium (Lang Park),"Milton, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
1,Sydney Football Stadium (Old),Sydney Football Stadium (Old),"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
251,AAMI Park,Melbourne Rectangular Stadium,"Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
940,CommBank Stadium,Western Sydney Stadium,"Parramatta, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
6,Go Media Stadium,Mt Smart,"Penrose, Auckland, Auckland, New Zealand",New Zealand,Auckland,Auckland
24,Sydney Cricket Ground,Sydney Cricket Ground,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
7,Leichhardt Oval,Leichhardt Oval,"Leichhardt, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
4,GIO Stadium,Canberra Stadium,"Canberra, Australian Capital Territory, Australia",Australia,Australian Capital Territory,Canberra
11,McDonald Jones Stadium,Hunter Stadium,"Newcastle, New South Wales, Australia",Australia,New South Wales,Newcastle
21,WIN Stadium,Wollongong Showground,"Wollongong, New South Wales, Australia",Australia,New South Wales,Wollongong
149,Cbus Super Stadium,Robina Stadium,"Robina, Gold Coast, Queensland, Australia",Australia,Queensland,Gold Coast
23,Netstrata Jubilee Stadium,Jubilee Oval,"Kogarah, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
968,Kayo Stadium,Dolphin Stadium,"Redcliffe, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
1096,Allianz Stadium,Sydney Football Stadium,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
26,Industree Group Stadium,Central Coast Stadium,"Gosford, New South Wales, Australia",Australia,New South Wales,Gosford
939,Sunshine Coast Stadium,Sunshine Coast Stadium,"Kawana Waters, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
9,Pointsbet Stadium,Endeavour Field,"Cronulla, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
119,Brisbane Cricket Ground,Brisbane Cricket Ground,"Woolloongabba, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
27,Belmore Sports Ground,Belmore Sports Ground,"Belmore, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
985,Queensland Country Bank Stadium,North Queensland Stadium,"Townsville, Queensland, Australia",Australia,Queensland,Townsville
972,Totally Workwear Stadium,Langlands Park,"Stones Corner, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
19,Campbelltown Sports Stadium,Campbelltown Sports Stadium,"Campbelltown, New South Wales, Australia",Australia,New South Wales,Campbelltown
1293,Eric Tweedale Stadium,Eric Tweedale Stadium,"Granville, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
