year,match_no,date,time,time_24hr,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
1980,1,1980-07-08,8:00 PM,20:00:00,2295,22,33210,988,Maroons,9,20,12,Blues,5,10,14
1981,1,1981-07-28,8:00 PM,20:00:00,2296,22,25613,988,Maroons,5,22,14,Blues,15,15,5
1982,1,1982-06-01,8:00 PM,20:00:00,2297,22,27326,918,Maroons,6,16,15,Blues,12,20,8
1982,2,1982-06-08,8:00 PM,20:00:00,2298,22,19435,1511,Maroons,5,11,14,Blues,3,7,11
1982,3,1982-06-22,8:00 PM,20:00:00,2299,24,20242,892,Blues,3,5,15,Maroons,5,10,11
1983,1,1983-06-07,8:05 PM,20:05:00,2300,22,29412,892,Maroons,18,24,14,Blues,6,12,12
1983,2,1983-06-21,8:00 PM,20:00:00,2301,24,21620,1125,Blues,6,10,11,Maroons,6,6,7
1983,3,1983-06-28,8:05 PM,20:05:00,2302,22,26084,892,Maroons,21,43,8,Blues,0,22,7
1984,1,1984-05-29,7:30 PM,19:30:00,2303,22,33662,892,Maroons,15,29,8,Blues,6,12,7
1984,2,1984-06-19,7:35 PM,19:35:00,2304,24,29088,892,Blues,0,2,5,Maroons,0,14,6
1984,3,1984-07-17,7:35 PM,19:35:00,2305,22,16559,1548,Maroons,6,12,10,Blues,8,22,8
1985,1,1985-05-28,7:35 PM,19:35:00,2306,22,33011,1129,Maroons,2,2,10,Blues,4,18,8
1985,2,1985-06-11,7:35 PM,19:35:00,2307,24,39068,892,Blues,12,21,5,Maroons,8,14,4
1985,3,1985-07-23,7:35 PM,19:35:00,2308,22,18825,1157,Maroons,6,20,8,Blues,0,6,4
1986,1,1986-05-27,7:35 PM,19:35:00,2309,22,33066,1144,Maroons,10,16,9,Blues,12,22,4
1986,2,1986-06-10,7:35 PM,19:35:00,2310,24,40707,1125,Blues,12,24,7,Maroons,12,20,4
1986,3,1986-07-01,7:35 PM,19:35:00,2311,22,21097,1113,Maroons,16,16,5,Blues,16,18,7
1987,1,1987-06-02,7:35 PM,19:35:00,2312,22,33411,412,Maroons,6,16,8,Blues,10,20,5
1987,2,1987-06-16,7:35 PM,19:35:00,2313,24,42048,1125,Blues,6,6,4,Maroons,4,12,9
1987,3,1987-07-15,7:35 PM,19:35:00,2314,22,32602,227,Maroons,10,10,6,Blues,8,8,6
1987,4,1987-08-06,NA,NA,2388,50,12349,1125,Blues,10,30,8,Maroons,2,18,14
1988,1,1988-05-17,7:30 PM,19:30:00,2315,1,26441,227,Blues,6,18,5,Maroons,12,26,1
1988,2,1988-05-31,7:35 PM,19:35:00,2316,22,31817,879,Maroons,4,16,9,Blues,6,6,6
1988,3,1988-06-21,7:30 PM,19:30:00,2317,1,16910,879,Blues,18,22,7,Maroons,18,38,3
