player_id,full_name,first_name,last_name,nickname,birthday,birthdate,birthplace
1503,Colin Scott,Colin,Scott,NA,1960-03-22,22-03,NA
1514,Graham Eadie,Graham,Eadie,Wombat,1953-11-25,25-11,"Woy Woy, New South Wales, Australia"
1082,Kerry Boustead,Kerry,Boustead,Bowie,1959-08-12,12-08,"Innisfail, Queensland, Australia"
1515,Chris Anderson,Chris,Anderson,Opes,1952-05-28,28-05,"Condobolin, New South Wales, Australia"
918,Mal Meninga,Mal,Meninga,NA,1960-07-08,08-07,"Bundaberg, Queensland, Australia"
6089,Michael Cronin,Michael,Cronin,Crow,1951-06-28,28-06,"Kiama, New South Wales, Australia"
988,Chris Close,Chris,Close,Choppy,1959-02-05,05-02,"Cunnamulla, Queensland, Australia"
1516,Steve Rogers,Steve,Rogers,NA,1954-11-20,20-11,"Sutherland, New South Wales, Australia"
1504,Brad Backer,Brad,Backer,NA,1956-07-19,19-07,NA
1518,Greg Brentnall,Greg,Brentnall,NA,1956-12-05,05-12,"Wagga Wagga, New South Wales, Australia"
1505,Alan Smith,Alan,Smith,NA,1955-05-02,02-05,"Toowoomba, Queensland, Australia"
1519,Alan Thompson,Alan,Thompson,NA,1953-10-10,10-10,"Sydney, New South Wales, Australia"
1506,Greg Oliphant,Greg,Oliphant,NA,1950-06-22,22-06,"Brisbane, Queensland, Australia"
1520,Tom Raudonikis,Tom,Raudonikis,NA,1950-04-13,13-04,"Bathurst, New South Wales, Australia"
892,Wally Lewis,Wally,Lewis,NA,1959-12-01,01-12,"Brisbane, Queensland, Australia"
1521,Jim Leis,Jim,Leis,NA,1959-10-10,10-10,NA
1507,Rod Reddy,Rod,Reddy,NA,1954-03-01,01-03,"Rockhampton, Queensland, Australia"
1171,Graeme Wynn,Graeme,Wynn,NA,1959-04-19,19-04,"Thirroul, New South Wales, Australia"
1508,Rohan Hancock,Rohan,Hancock,NA,1955-06-18,18-06,"Toowoomba, Queensland, Australia"
1522,Bob Cooper,Bob,Cooper,NA,1955-08-31,31-08,"Sydney, New South Wales, Australia"
1509,Arthur Beetson,Arthur,Beetson,NA,1945-01-22,22-01,"Roma, Queensland, Australia"
1523,Craig Young,Craig,Young,NA,1956-06-25,25-06,"Wollongong, New South Wales, Australia"
1510,John Lang,John,Lang,NA,1950-11-07,07-11,NA
