ref_id,full_name,first_name,last_name,nickname,birthday,birthdate
42078,Graham Annesley,Graham,Annesley,NA,1957-05-26,26-05
42083,Tony Archer,Tony,Archer,NA,NA,NA
42086,Matt Cecchin,Matt,Cecchin,NA,NA,NA
42076,Steve Clark,Steve,Clark,NA,NA,NA
42134,Ben Cummins,Ben,Cummins,NA,NA,NA
42104,John Gocher,John,Gocher,NA,NA,NA
42102,Barry Gomersall,Barry,Gomersall,NA,1945-10-19,19-10
42074,Sean Hampstead,Sean,Hampstead,NA,NA,NA
42077,Bill Harrigan,Bill,Harrigan,NA,1960-03-24,24-03
42087,Shayne Hayne,Shayne,Hayne,NA,1967-10-31,31-10
42081,Kelvin Jeffes,Kelvin,Jeffes,NA,NA,NA
42116,Ashley Klein,Ashley,Klein,NA,1979-09-06,06-09
42098,Greg McCallum,Greg,McCallum,NA,NA,NA
42061,David Manson,David,Manson,NA,NA,NA
42135,Jared Maxwell,Jared,Maxwell,NA,NA,NA
10679,Kevin Roberts,Kevin,Roberts,Bilko,1941-09-11,11-09
42073,Paul Simpkins,Paul,Simpkins,NA,NA,NA
42100,Kevin Steel,Kevin,Steel,NA,NA,NA
42095,Mick Stone,Mick,Stone,NA,1949-07-05,05-07
42376,Gerard Sutton,Gerard,Sutton,NA,1978-10-23,23-10
42099,Billy Thompson,Billy,Thompson,NA,1933-09-21,21-09
42071,Eddie Ward,Eddie,Ward,NA,1951-03-03,03-03
42105,Robin Whitfield,Robin,Whitfield,NA,1943-11-26,26-11
42103,Don Wilson,Don,Wilson,NA,NA,NA
