venue_id,venue_name,non-commercial_name,location,country,states,cities
22,Lang Park,Lang Park,"Milton, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
24,Sydney Cricket Ground,Sydney Cricket Ground,"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
50,Veterans Memorial Stadium,Veterans Memorial Stadium,"Long Beach, California, United States of America",United States of America,California,Long Beach
1,Sydney Football Stadium (Old),Sydney Football Stadium (Old),"Moore Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
12,Olympic Park Stadium,Olympic Park,"Jolimont, Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
37,Melbourne Cricket Ground,Melbourne Cricket Ground,"Jolimont, Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
20,Accor Stadium,Stadium Australia,"Sydney Olympic Park, Sydney, New South Wales, Australia",Australia,New South Wales,Sydney
13,Queensland Sport and Athletics Centre,Queensland Sport and Athletics Centre,"Nathan, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
1097,Suncorp Stadium,Brisbane Stadium (Lang Park),"Milton, Brisbane, Queensland, Australia",Australia,Queensland,Brisbane
30,Marvel Stadium,Docklands,"Docklands, Melbourne, Victoria, Australia",Australia,Victoria,Melbourne
804,Optus Stadium,Perth Stadium,"Perth, Western Australia, Australia",Australia,Western Australia,Perth
33,Adelaide Oval,Adelaide Oval,"Adelaide, South Australia, Australia",Australia,South Australia,Adelaide
985,Queensland Country Bank Stadium,North Queensland Stadium,"Townsville, Queensland, Australia",Australia,Queensland,Townsville
149,Cbus Super Stadium,Robina Stadium,"Robina, Gold Coast, Queensland, Australia",Australia,Queensland,Gold Coast
