,match_id,coach_id,team
0,4011,2835,WESTS TIGERS
0,4011,530,"St George Illawarra
DRAGONS"
0,4006,1070,"Newcastle
KNIGHTS"
0,4006,2831,"Parramatta
EELS"
0,4012,1236,BULLDOGS
0,4012,1510,"Penrith
PANTHERS"
0,4008,260,"Manly Warringah
SEA EAGLES"
0,4008,1155,"Canberra
RAIDERS"
0,4010,239,WARRIORS
0,4010,902,"Melbourne
STORM"
0,4007,2832,"South Sydney
RABBITOHS"
0,4007,211,"Sydney
ROOSTERS"
0,4009,6075,"Brisbane
BRONCOS"
0,4009,2826,"North Queensland
COWBOYS"
0,4062,1236,BULLDOGS
0,4062,2835,WESTS TIGERS
0,4017,2831,"Parramatta
EELS"
0,4017,239,WARRIORS
0,4013,2553,"Cronulla Sutherland
SHARKS"
0,4013,6075,"Brisbane
BRONCOS"
0,4018,2826,"North Queensland
COWBOYS"
0,4018,260,"Manly Warringah
SEA EAGLES"
0,4016,211,"Sydney
ROOSTERS"
0,4016,902,"Melbourne
STORM"
0,4014,1155,"Canberra
RAIDERS"
0,4014,1070,"Newcastle
KNIGHTS"
0,4015,530,"St George Illawarra
DRAGONS"
0,4015,1510,"Penrith
PANTHERS"
0,4075,1070,"Newcastle
KNIGHTS"
0,4075,1236,BULLDOGS
0,4076,2835,WESTS TIGERS
0,4076,239,WARRIORS
0,4077,260,"Manly Warringah
SEA EAGLES"
0,4077,2553,"Cronulla Sutherland
SHARKS"
0,4078,2826,"North Queensland
COWBOYS"
0,4078,902,"Melbourne
STORM"
0,4079,2832,"South Sydney
RABBITOHS"
0,4079,530,"St George Illawarra
DRAGONS"
0,4081,211,"Sydney
ROOSTERS"
0,4081,1155,"Canberra
RAIDERS"
0,4080,6075,"Brisbane
BRONCOS"
0,4080,2831,"Parramatta
EELS"
0,4082,2831,"Parramatta
EELS"
0,4082,2826,"North Queensland
COWBOYS"
0,4083,2553,"Cronulla Sutherland
SHARKS"
0,4083,2832,"South Sydney
RABBITOHS"
0,4085,1155,"Canberra
RAIDERS"
0,4085,1510,"Penrith
PANTHERS"
0,4084,260,"Manly Warringah
SEA EAGLES"
0,4084,211,"Sydney
ROOSTERS"
0,4086,2835,WESTS TIGERS
0,4086,902,"Melbourne
STORM"
0,4088,1070,"Newcastle
KNIGHTS"
0,4088,239,WARRIORS
0,4087,530,"St George Illawarra
DRAGONS"
0,4087,6075,"Brisbane
BRONCOS"
0,4096,2826,"North Queensland
COWBOYS"
0,4096,2835,WESTS TIGERS
0,4097,6075,"Brisbane
BRONCOS"
0,4097,2832,"South Sydney
RABBITOHS"
0,4098,2553,"Cronulla Sutherland
SHARKS"
0,4098,211,"Sydney
ROOSTERS"
0,4099,530,"St George Illawarra
DRAGONS"
0,4099,1070,"Newcastle
KNIGHTS"
0,4100,239,WARRIORS
0,4100,260,"Manly Warringah
SEA EAGLES"
0,4101,1155,"Canberra
RAIDERS"
0,4101,1236,BULLDOGS
0,4102,2831,"Parramatta
EELS"
0,4102,1510,"Penrith
PANTHERS"
0,4095,211,"Sydney
ROOSTERS"
0,4095,6075,"Brisbane
BRONCOS"
0,4103,260,"Manly Warringah
SEA EAGLES"
0,4103,530,"St George Illawarra
DRAGONS"
0,4111,1155,"Canberra
RAIDERS"
0,4111,239,WARRIORS
0,4110,1510,"Penrith
PANTHERS"
0,4110,902,"Melbourne
STORM"
0,4112,2835,WESTS TIGERS
0,4112,2553,"Cronulla Sutherland
SHARKS"
0,4113,1070,"Newcastle
KNIGHTS"
0,4113,2826,"North Queensland
COWBOYS"
0,4126,2832,"South Sydney
RABBITOHS"
0,4126,1236,BULLDOGS
0,4127,2831,"Parramatta
EELS"
0,4127,2835,WESTS TIGERS
0,4128,239,WARRIORS
0,4128,2832,"South Sydney
RABBITOHS"
0,4129,2553,"Cronulla Sutherland
SHARKS"
0,4129,2826,"North Queensland
COWBOYS"
0,4130,902,"Melbourne
STORM"
0,4130,1070,"Newcastle
KNIGHTS"
0,4131,1236,BULLDOGS
0,4131,260,"Manly Warringah
SEA EAGLES"
0,4132,6075,"Brisbane
BRONCOS"
0,4132,1510,"Penrith
PANTHERS"
0,4133,530,"St George Illawarra
DRAGONS"
0,4133,211,"Sydney
ROOSTERS"
0,4148,1510,"Penrith
PANTHERS"
0,4148,2553,"Cronulla Sutherland
SHARKS"
0,4153,2826,"North Queensland
COWBOYS"
0,4153,211,"Sydney
ROOSTERS"
0,4154,6075,"Brisbane
BRONCOS"
0,4154,1155,"Canberra
RAIDERS"
0,4155,902,"Melbourne
STORM"
0,4155,530,"St George Illawarra
DRAGONS"
0,4156,239,WARRIORS
0,4156,1236,BULLDOGS
0,4157,2832,"South Sydney
RABBITOHS"
0,4157,1070,"Newcastle
KNIGHTS"
0,4158,260,"Manly Warringah
SEA EAGLES"
0,4158,2831,"Parramatta
EELS"
0,4182,2831,"Parramatta
EELS"
0,4182,1155,"Canberra
RAIDERS"
0,4184,2826,"North Queensland
COWBOYS"
0,4184,1510,"Penrith
PANTHERS"
0,4183,2832,"South Sydney
RABBITOHS"
0,4183,902,"Melbourne
STORM"
0,4185,1070,"Newcastle
KNIGHTS"
0,4185,6075,"Brisbane
BRONCOS"
0,4188,2553,"Cronulla Sutherland
SHARKS"
0,4188,530,"St George Illawarra
DRAGONS"
0,4186,211,"Sydney
ROOSTERS"
0,4186,1236,BULLDOGS
0,4187,2835,WESTS TIGERS
0,4187,260,"Manly Warringah
SEA EAGLES"
0,4191,6075,"Brisbane
BRONCOS"
0,4191,260,"Manly Warringah
SEA EAGLES"
0,4190,902,"Melbourne
STORM"
0,4190,2826,"North Queensland
COWBOYS"
0,4189,530,"St George Illawarra
DRAGONS"
0,4189,239,WARRIORS
0,4192,1236,BULLDOGS
0,4192,2831,"Parramatta
EELS"
0,4194,1155,"Canberra
RAIDERS"
0,4194,2553,"Cronulla Sutherland
SHARKS"
0,4195,1510,"Penrith
PANTHERS"
0,4195,2832,"South Sydney
RABBITOHS"
0,4193,2835,WESTS TIGERS
0,4193,1070,"Newcastle
KNIGHTS"
0,4208,1510,"Penrith
PANTHERS"
0,4208,243,"Parramatta
EELS"
0,4209,239,WARRIORS
0,4209,2835,WESTS TIGERS
0,4210,260,"Manly Warringah
SEA EAGLES"
0,4210,902,"Melbourne
STORM"
0,4211,1070,"Newcastle
KNIGHTS"
0,4211,1155,"Canberra
RAIDERS"
0,4212,1236,BULLDOGS
0,4212,2553,"Cronulla Sutherland
SHARKS"
0,4213,211,"Sydney
ROOSTERS"
0,4213,2832,"South Sydney
RABBITOHS"
0,4214,1070,"Newcastle
KNIGHTS"
0,4214,530,"St George Illawarra
DRAGONS"
0,4215,2826,"North Queensland
COWBOYS"
0,4215,1155,"Canberra
RAIDERS"
0,4216,6075,"Brisbane
BRONCOS"
0,4216,1236,BULLDOGS
0,4217,2553,"Cronulla Sutherland
SHARKS"
0,4217,239,WARRIORS
0,4218,902,"Melbourne
STORM"
0,4218,1510,"Penrith
PANTHERS"
0,4219,243,"Parramatta
EELS"
0,4219,211,"Sydney
ROOSTERS"
0,4220,2832,"South Sydney
RABBITOHS"
0,4220,2835,WESTS TIGERS
0,4221,530,"St George Illawarra
DRAGONS"
0,4221,243,"Parramatta
EELS"
0,4222,902,"Melbourne
STORM"
0,4222,211,"Sydney
ROOSTERS"
0,4223,1236,BULLDOGS
0,4223,1070,"Newcastle
KNIGHTS"
0,4224,1155,"Canberra
RAIDERS"
0,4224,2832,"South Sydney
RABBITOHS"
0,4225,239,WARRIORS
0,4225,6075,"Brisbane
BRONCOS"
0,4226,1510,"Penrith
PANTHERS"
0,4226,260,"Manly Warringah
SEA EAGLES"
0,4227,2835,WESTS TIGERS
0,4227,2826,"North Queensland
COWBOYS"
0,4240,260,"Manly Warringah
SEA EAGLES"
0,4240,2835,WESTS TIGERS
0,4241,1510,"Penrith
PANTHERS"
