,coach_id,coach_name_comma,coach_name,coach_birthday
0,3587,"ABERCROMBIE, Jim",Jim Abercrombie,1880-12-31
0,8188,"ALLAN, Trevor",Trevor Allan,1926-09-27
0,7440,"ANDERSON, Bill",Bill Anderson,1948-04-10
0,1515,"ANDERSON, Chris",Chris 'Opes' Anderson,1952-05-28
0,2829,"ANDERSON, Daniel",Daniel Anderson,1967-05-03
0,19978,"ARTHUR, Brad",Brad Arthur,1974-05-21
0,10382,"ARTHURSON, Ken",Ken 'Arko' Arthurson,1929-10-01
0,5909,"ASHTON, Ferris",Ferris 'Ferdie' Ashton,1926-08-21
0,7445,"BAILEY, John",John Bailey,-
0,5839,"BAILEY, Ron",Ron Bailey,1914-04-03
0,5951,"BARNES, Keith",Keith Barnes,1934-10-30
0,806,"BARRETT, Trent",Trent Barrett,1977-11-18
0,8190,"BATH, Harry",Harry Bath,1924-11-28
0,1509,"BEETSON, Arthur",Arthur Beetson,1945-01-22
0,10447,"BEGER, Dudley",Dudley Beger,1928-12-30
0,7450,"BELL, Grant",Grant Bell,1962-05-02
0,902,"BELLAMY, Craig",Craig 'Bellyache' Bellamy,1958-10-03
0,6075,"BENNETT, Wayne",Wayne Bennett,1950-01-01
0,6313,"BISHOP, Tommy",Tommy Bishop,1940-10-15
0,5737,"BLAIR, Alf",Alf Blair,1896-01-23
0,7456,"BLEAKLEY, Steve",Steve Bleakley,-
0,9180,"BODDINGTON, George",George Boddington,1898-10-29
0,5967,"BODEN, Ron",Ron Boden,1936-10-16
0,10673,"BOLAND, Bob",Bob 'Bolo' Boland,1938-01-07
0,8875,"BOLEWSKI, Henry",Henry Bolewski,1890-08-04
0,6269,"BOLTON, Dave",Dave Bolton,1937-04-27
0,9435,"BRADY, Alan",Alan Brady,1909-09-14
0,24763,"BRENNAN, Garth",Garth Brennan,1972-02-18
0,9250,"BRIEN, Jerry",Jerry Brien,1904-12-08
0,5771,"BROGAN, Bill",Bill Brogan,1900-04-28
0,9125,"BROOKS, Edward",Edward Brooks,1890-06-03
0,11651,"BROUGHTON, Paul",Paul Broughton,1931-03-03
0,7415,"BROWN, Dave",Dave Brown,1913-04-04
0,530,"BROWN, Nathan",Nathan Brown,1973-07-31
0,782,"BUDERUS, Danny",Danny Buderus,1978-02-06
0,9998,"BUGDEN, Paddy",Paddy Bugden,1918-12-18
0,5874,"BULGIN, Vic",Vic Bulgin,1927-11-27
0,5892,"BULL, Roy",Roy Bull,1929-06-12
0,8675,"BURDON, Alex",Alex Burdon,1879-03-31
0,5384,"BURGE, Frank",Frank Burge,1894-08-14
0,8795,"BURGE, Peter",Peter Burge,1884-02-15
0,9699,"BURNS, Eddie",Eddie Burns,1916-03-06
0,758,"BURT, Luke",Luke Burt,1981-06-06
0,9428,"BUSCH, Joe",Joe Busch,1907-06-04
0,9941,"CAHILL, Charles",Charles Cahill,1916-01-28
0,5728,"CAPLES, Harry",Harry Caples,1898-02-04
0,28077,"CARR, Ryan",Ryan Carr,1988-08-03
0,469,"CARTWRIGHT, John",John Cartwright,1965-08-09
0,52117,"CHASELING, Jack",Jack Chaseling,1880
0,5869,"CHURCHILL, Clive",Clive Churchill,1927-01-21
0,2824,"CIRALDO, Cameron",Cameron Ciraldo,1984-10-30
0,11783,"CLARE, Jack",Jack Clare,1924-06-17
0,239,"CLEARY, Ivan",Ivan Cleary,1971-03-01
0,7448,"CLIFT, Malcolm",Malcolm Clift,1934-10-31
0,448,"COLEMAN, Craig",Craig Coleman,1963-01-31
0,10360,"COOPER, Cec",Cec Cooper,1926-02-21
0,8691,"COURTNEY, Ed",Ed 'Tedda' Courtney,1884-08-29
0,5722,"CRAIG, Jim",Jim Craig,1895-06-29
0,6089,"CRONIN, Michael",Michael 'Crow' Cronin,1951-06-28
0,12006,"CURRY JNR, Frank",Frank Curry Jnr,1950-05-02
0,2346,"DEMETRIOU, Jason",Jason Demetriou,1976-01-13
0,7455,"DEMPSEY, Kieran",Kieran Dempsey,-
0,3581,"DEVEREUX, Jim",Jim Devereux,1887-06-27
0,5842,"DEVERY, Pat",Pat Devery,1922-08-09
0,5903,"DONOGHUE, Denis",Denis Donoghue,1926-10-17
0,5914,"DONOHOE, Col",Col Donohoe,1929-08-02
0,9506,"DORAN, Laurie",Laurie Doran,1918
0,9419,"DUCKWORTH, Jim",Jim Duckworth,1908-04-18
0,21,"DUNEMANN, Andrew",Andrew Dunemann,1976-10-06
0,9827,"DUNN, Dick",Dick Dunn,1920-08-10
0,91,"DYMOCK, Jim",Jim Dymock,1972-04-04
0,7449,"ECONOMIDIS, Phil",Phil 'Bernie' Economidis,1953-02-09
0,5758,"EDWARDS, Arthur",Arthur 'Fatty' Edwards,1901-12-19
0,1155,"ELLIOTT, Matthew",Matthew Elliott,1964-12-08
0,9715,"ELLIS, Allan",Allan Ellis,1908-11-16
0,11815,"ELLIS, Wayne",Wayne Ellis,-
0,2960,"ENDACOTT, Frank",Frank Endacott,-
0,3952,"FAIRFAX, Russell",Russell Fairfax,1952-03-29
0,3622,"FARNSWORTH, Bill",Bill Farnsworth,1887-01-14
0,5407,"FARNSWORTH, Viv",Viv Farnsworth,1889-02-04
0,1235,"FARRAR, Andrew",Andrew Farrar,1962-05-17
0,5843,"FARRELL, Frank",Frank Farrell,1916-09-16
0,9573,"FAVELL, Gordon",Gordon Favell,1912-08-19
0,3733,"FEARNLEY, Terry",Terry Fearnley,1933-07-21
0,9212,"FIFIELD, Cec",Cec Fifield,1903-09-23
0,470,"FITTLER, Brad",Brad Fittler,1972-02-05
0,10344,"FITZGERALD, Jack",Jack Fitzgerald,1925-01-04
0,7443,"FITZGIBBON, Allan",Allan Fitzgibbon,-
0,845,"FITZGIBBON, Craig",Craig Fitzgibbon,1977-06-16
0,1202,"FLANAGAN, Shane",Shane Flanagan,1965-12-02
0,1236,"FOLKES, Steve",Steve Folkes,1959-01-31
0,5799,"FOLWELL, Arthur",Arthur 'Snowy' Folwell,1904-09-23
0,9711,"FORBES, Harry",Harry Forbes,1914-03-14
0,8167,"FRANCIS, Roy",Roy Francis,-
0,8973,"FRASER, Alf",Alf Fraser,1891-09-25
0,5393,"FRASER, Charles",Charles Fraser,1893-01-11
0,7444,"FREIER, Laurie",Laurie Freier,1948-12-07
0,8623,"FRY, Edward",Edward Fry,1878-09-02
0,6047,"FULTON, Bob",Bob Fulton,1946-12-01
0,215,"FURNER, David",David Furner,1971-02-06
0,5948,"FURNER, Don",Don 'Fatty' Furner,1931-12-26
0,33752,"GARDINER, Ben",Ben Gardiner,-
0,5907,"GEELAN, Col",Col Geelan,1927-03-11
0,11816,"GENTLE, Ken",Ken Gentle,-
0,4424,"GENTLE, Peter",Peter Gentle,1965-09-26
0,543,"GEORGALLIS, Steve",Steve Georgallis,1968-06-17
0,7442,"GHOSN, Steve",Steve 'Gus' Ghosn,1953-04-01
0,3737,"GIBSON, Jack",Jack Gibson,1929-02-27
0,5378,"GILBERT, Herb",Herb Gilbert,1887-09-18
0,5911,"GILL, Charlie",Charlie Gill,1922-05-02
0,8978,"GILLESPIE, William",William Gillespie,1894-11-22
0,3730,"GLOSSOP, Ted",Ted Glossop,1934
0,3134,"GOULD, Phil",Phil Gould,1958-01-24
0,2936,"GRAHAM, Mark",Mark Graham,1955-09-29
0,3612,"GRAVES, Robert",Robert Graves,1880-09-01
0,11820,"GRAY, Merv",Merv Gray,-
0,8775,"GREEN, George",George Green,1883-12-17
0,407,"GREEN, Paul",Paul Green,1972-09-12
0,7401,"GREENWOOD, Colin",Colin Greenwood,1936-01-25
0,16571,"GRIFFIN, Anthony",Anthony 'Hook' Griffin,1966-08-26
0,7398,"GRIFFITHS, Fred",Fred Griffiths,1935
0,5992,"HAGAN, Bob",Bob Hagan,1940-01-08
0,1070,"HAGAN, Michael",Michael Hagan,1964-08-12
0,5406,"HALLETT, Howard",Howard 'The Rock Of Gibraltar' Hallett,1890-04-13
0,3582,"HALLOWAY, Arthur",Arthur Halloway,1885-07-17
0,5974,"HAMBLY, Brian",Brian Hambly,1937-10-31
0,6091,"HAMILTON, Bill",Bill Hamilton,1945-02-12
0,9939,"HAMPSTEAD, Jack",Jack Hampstead,1920-05-10
0,30,"HANNAY, Josh",Josh Hannay,1980-01-11
0,10546,"HARRIS, Barry",Barry Harris,1938-05-09
0,9651,"HARRISON, Rex",Rex Harrison,1914-06-27
0,3849,"HARVEY, John",John 'Harve' Harvey,1955-04-19
0,260,"HASLER, Des",Des 'Sorry' Hasler,1961-02-16
0,5921,"HAWICK, Greg",Greg Hawick,1932-05-03
0,5877,"HAWKE, Johnny",Johnny Hawke,1925-05-07
0,10711,"HAYES, John",John Hayes,1939-05-25
0,8789,"HEDLEY, Charlie",Charlie Hedley,1881-03-08
0,911,"HENJAK, Ivan",Ivan Henjak,1963-03-09
0,3653,"HENNESSY, Arthur",Arthur Hennessy,1876-09-24
0,5544,"HENRY, Neil",Neil Henry,1961-01-23
0,5805,"HEY, Vic",Vic 'The Human Bullet' Hey,1912-11-18
