,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NRL 2017,Round 1,"Thursday, 2nd March, 2017",8:05pm (local time),35835,9,"11,493","Cronulla Sutherland
SHARKS",6,18,5,"Brisbane
BRONCOS",14,26,10
0,NRL 2017,Round 1,"Friday, 3rd March, 2017",6:00pm (local time),35836,27,"8,712","Canterbury Bankstown
BULLDOGS",6,6,9,"Melbourne
STORM",12,12,6
0,NRL 2017,Round 1,"Friday, 3rd March, 2017",8:05pm (local time),35837,20,"16,976","South Sydney
RABBITOHS",8,18,4,WESTS TIGERS,18,34,4
0,NRL 2017,Round 1,"Saturday, 4th March, 2017",4:30pm (local time),35838,23,"7,283","St George Illawarra
DRAGONS",18,42,7,"Penrith
PANTHERS",4,10,4
0,NRL 2017,Round 1,"Saturday, 4th March, 2017",6:00pm (local time),35839,14,"17,548","North Queensland
COWBOYS",6,20,11,"Canberra
RAIDERS",6,16,4
0,NRL 2017,Round 1,"Saturday, 4th March, 2017",8:00pm (local time),35840,149,"13,933","Gold Coast
TITANS",0,18,8,"Sydney
ROOSTERS",28,32,5
0,NRL 2017,Round 1,"Sunday, 5th March, 2017",4:00pm (local time),35841,6,"13,712",WARRIORS,20,26,3,"Newcastle
KNIGHTS",8,22,6
0,NRL 2017,Round 1,"Sunday, 5th March, 2017",4:00pm (local time),35842,5,"11,318","Manly Warringah
SEA EAGLES",6,12,5,"Parramatta
EELS",14,20,7
0,NRL 2017,Round 2,"Thursday, 9th March, 2017",8:05pm (local time),35843,1,"13,505","Sydney
ROOSTERS",16,28,2,"Canterbury Bankstown
BULLDOGS",8,24,5
0,NRL 2017,Round 2,"Friday, 10th March, 2017",8:00pm (local time),35844,6,"9,811",WARRIORS,10,10,9,"Melbourne
STORM",12,26,8
0,NRL 2017,Round 2,"Friday, 10th March, 2017",7:05pm (local time),35845,1097,"47,703","Brisbane
BRONCOS",14,20,7,"North Queensland
COWBOYS",12,21,3
0,NRL 2017,Round 2,"Saturday, 11th March, 2017",3:00pm (local time),35846,11,"12,869","Newcastle
KNIGHTS",12,34,6,"Gold Coast
TITANS",16,26,4
0,NRL 2017,Round 2,"Saturday, 11th March, 2017",5:30pm (local time),35847,5,"10,183","Manly Warringah
SEA EAGLES",12,18,3,"South Sydney
RABBITOHS",18,38,8
0,NRL 2017,Round 2,"Saturday, 11th March, 2017",7:30pm (local time),35848,4,"15,807","Canberra
RAIDERS",10,16,9,"Cronulla Sutherland
SHARKS",12,42,6
