,player_id,match_id,team,opposition_team,number,position,captain
0,8843,8656,"Balmain
TIGERS",NEWTOWN,1,FB,False
0,12929,8656,NEWTOWN,"Balmain
TIGERS",1,FB,False
0,5722,8656,"Balmain
TIGERS",NEWTOWN,2,W,False
0,11492,8656,NEWTOWN,"Balmain
TIGERS",2,W,False
0,5380,8656,"Balmain
TIGERS",NEWTOWN,3,C,False
0,12901,8656,NEWTOWN,"Balmain
TIGERS",3,C,False
0,5393,8656,"Balmain
TIGERS",NEWTOWN,4,C,False
0,9038,8656,NEWTOWN,"Balmain
TIGERS",4,C,False
0,9019,8656,"Balmain
TIGERS",NEWTOWN,5,W,False
0,8854,8656,NEWTOWN,"Balmain
TIGERS",5,W,False
0,5381,8656,"Balmain
TIGERS",NEWTOWN,6,FE,False
0,8978,8656,NEWTOWN,"Balmain
TIGERS",6,FE,False
0,3582,8656,"Balmain
TIGERS",NEWTOWN,7,HB,True
0,8864,8656,NEWTOWN,"Balmain
TIGERS",7,HB,False
0,8736,8656,"Balmain
TIGERS",NEWTOWN,8,L,False
0,8872,8656,NEWTOWN,"Balmain
TIGERS",8,L,False
0,5729,8656,"Balmain
TIGERS",NEWTOWN,9,2R,False
0,5394,8656,NEWTOWN,"Balmain
TIGERS",9,2R,False
0,5395,8656,"Balmain
TIGERS",NEWTOWN,10,2R,False
0,8887,8656,NEWTOWN,"Balmain
TIGERS",10,2R,False
0,8973,8656,"Balmain
TIGERS",NEWTOWN,11,FR,False
0,8698,8656,NEWTOWN,"Balmain
TIGERS",11,FR,False
0,5738,8656,"Balmain
TIGERS",NEWTOWN,12,HK,False
0,12264,8656,NEWTOWN,"Balmain
TIGERS",12,HK,False
0,8962,8656,"Balmain
TIGERS",NEWTOWN,13,FR,False
0,5385,8656,NEWTOWN,"Balmain
TIGERS",13,FR,True
0,9020,8658,GLEBE,ANNANDALE,1,FB,False
0,8935,8658,ANNANDALE,GLEBE,1,FB,False
0,8863,8658,GLEBE,ANNANDALE,2,W,False
0,8988,8658,ANNANDALE,GLEBE,2,W,False
0,8926,8658,GLEBE,ANNANDALE,3,C,False
0,8937,8658,ANNANDALE,GLEBE,3,C,False
0,8997,8658,GLEBE,ANNANDALE,4,C,False
0,9015,8658,ANNANDALE,GLEBE,4,C,False
0,8875,8658,GLEBE,ANNANDALE,5,W,False
0,8953,8658,ANNANDALE,GLEBE,5,W,False
0,9027,8658,GLEBE,ANNANDALE,6,FE,False
0,8998,8658,ANNANDALE,GLEBE,6,FE,False
0,3583,8658,GLEBE,ANNANDALE,7,HB,False
0,8954,8658,ANNANDALE,GLEBE,7,HB,False
0,5384,8658,GLEBE,ANNANDALE,8,L,True
0,8764,8658,ANNANDALE,GLEBE,8,L,True
0,8715,8658,GLEBE,ANNANDALE,9,2R,False
0,8968,8658,ANNANDALE,GLEBE,9,2R,False
0,9014,8658,GLEBE,ANNANDALE,10,2R,False
0,13498,8658,ANNANDALE,GLEBE,10,2R,False
0,8694,8658,GLEBE,ANNANDALE,11,FR,False
0,9032,8658,ANNANDALE,GLEBE,11,FR,False
0,5386,8658,GLEBE,ANNANDALE,12,HK,False
0,8918,8658,ANNANDALE,GLEBE,12,HK,False
0,7522,8658,GLEBE,ANNANDALE,13,FR,False
0,8974,8658,ANNANDALE,GLEBE,13,FR,False
0,9011,8657,NORTH SYDNEY,EASTERN SUBURBS,1,FB,False
0,8942,8657,EASTERN SUBURBS,NORTH SYDNEY,1,FB,False
0,5723,8657,NORTH SYDNEY,EASTERN SUBURBS,2,W,True
0,8834,8657,EASTERN SUBURBS,NORTH SYDNEY,2,W,False
0,8881,8657,NORTH SYDNEY,EASTERN SUBURBS,3,C,False
0,5404,8657,EASTERN SUBURBS,NORTH SYDNEY,3,C,False
0,8897,8657,NORTH SYDNEY,EASTERN SUBURBS,4,C,False
0,8951,8657,EASTERN SUBURBS,NORTH SYDNEY,4,C,False
0,8910,8657,NORTH SYDNEY,EASTERN SUBURBS,5,W,False
0,8966,8657,EASTERN SUBURBS,NORTH SYDNEY,5,W,False
0,9089,8657,NORTH SYDNEY,EASTERN SUBURBS,6,FE,False
0,5728,8657,EASTERN SUBURBS,NORTH SYDNEY,6,FE,False
0,8669,8657,NORTH SYDNEY,EASTERN SUBURBS,7,HB,False
0,12954,8657,EASTERN SUBURBS,NORTH SYDNEY,7,HB,False
0,9008,8657,NORTH SYDNEY,EASTERN SUBURBS,8,L,False
0,8996,8657,EASTERN SUBURBS,NORTH SYDNEY,8,L,False
0,11682,8657,NORTH SYDNEY,EASTERN SUBURBS,9,2R,False
0,12896,8657,EASTERN SUBURBS,NORTH SYDNEY,9,2R,False
0,13445,8657,NORTH SYDNEY,EASTERN SUBURBS,10,2R,False
0,8941,8657,EASTERN SUBURBS,NORTH SYDNEY,10,2R,False
0,8929,8657,NORTH SYDNEY,EASTERN SUBURBS,11,FR,False
0,8809,8657,EASTERN SUBURBS,NORTH SYDNEY,11,FR,False
0,12823,8657,NORTH SYDNEY,EASTERN SUBURBS,12,HK,False
0,3674,8657,EASTERN SUBURBS,NORTH SYDNEY,12,HK,True
0,9007,8657,NORTH SYDNEY,EASTERN SUBURBS,13,FR,False
0,5408,8657,EASTERN SUBURBS,NORTH SYDNEY,13,FR,False
0,8828,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",1,FB,False
0,8960,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",1,FB,False
0,8994,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",2,W,False
0,8957,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",2,W,False
0,8976,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",3,C,False
