,player_id,player_name1,player_name2,birthday,birthplace
0,20210,George WILLIAMS,George Williams,"Monday, 31st October, 1994","Wigan, Greater Manchester, England"
0,29761,Jaimin JOLLIFFE,Jaimin Jolliffe,"Thursday, 7th November, 1996","Wagga Wagga, New South Wales, Australia"
0,29762,Jamil HOPOATE,Jamil Hopoate,"Tuesday, 8th November, 1994","Manly, New South Wales, Australia"
0,29755,Jamayne TAUNOA-BROWN,Jamayne Taunoa-Brown,"Sunday, 17th November, 1996","Melbourne, Victoria, Australia"
0,29764,Eliesa KATOA,Eliesa Katoa,"Monday, 3rd January, 2000","Hihifo, Niuatoputapu, Tonga"
0,26194,King VUNIYAYAWA,King Vuniyayawa,"Monday, 13th March, 1995","Lautoka, Viti Levu, Fiji"
0,29765,Toby RUDOLF,Toby Rudolf,"Monday, 29th January, 1996","Sydney, New South Wales, Australia"
0,29766,Jake AVERILLO,Jake Averillo,"Friday, 11th August, 2000","Sydney, New South Wales, Australia"
0,29767,Ethan BULLEMOR,Ethan Bullemor,"Monday, 21st February, 2000","Emerald, Queensland, Australia"
0,28644,Troy DARGAN,Troy Dargan,"Wednesday, 15th October, 1997","Sydney, New South Wales, Australia"
0,29823,Alex SEYFARTH,Alex Seyfarth,"Wednesday, 20th January, 1999","Sydney, New South Wales, Australia"
0,29824,Tex HOY,Tex Hoy,"Thursday, 4th November, 1999","Newcastle, New South Wales, Australia"
0,29825,Chris RANDALL,Chris Randall,"Sunday, 17th December, 1995","Newcastle, New South Wales, Australia"
0,29826,Brodie JONES,Brodie Jones,"Thursday, 7th May, 1998","Maitland, New South Wales, Australia"
0,29827,Cory PAIX,Cory Paix,"Thursday, 27th January, 2000","Toowoomba, Queensland, Australia"
0,29112,Tesi NIU,Tesi Niu,"Saturday, 11th August, 2001","Brisbane, Queensland, Australia"
0,29828,Chris LEWIS,Chris Lewis,"Friday, 12th June, 1992","Tingha, New South Wales, Australia"
0,29829,Keaon KOLOAMATANGI,Keaon Koloamatangi,"Saturday, 23rd May, 1998","Sydney, New South Wales, Australia"
0,29830,Tom GILBERT,Tom Gilbert,"Saturday, 5th August, 2000","Brisbane, Queensland, Australia"
0,29831,Adam CLUNE,Adam Clune,"Sunday, 6th August, 1995","Orange, New South Wales, Australia"
0,29832,Tevita FUNA,Tevita Funa,"Saturday, 3rd January, 1998","Sydney, New South Wales, Australia"
0,29833,Hamiso TABUAI-FIDOW,Hamiso Tabuai-Fidow,"Wednesday, 5th September, 2001","Cairns, Queensland, Australia"
0,29905,Connelly LEMUELU,Connelly Lemuelu,"Tuesday, 7th July, 1998","Auckland, Auckland, New Zealand"
0,29904,Sam McINTYRE,Sam McIntyre,"Friday, 20th March, 1998","Canberra, Australian Capital Territory, Australia"
