,player_id,player_name1,player_name2,birthday,birthplace
0,12500,Mick HARVEY,Mick Harvey,,
0,10541,Ken ROWLANDS,Ken Rowlands,"Saturday, 12th August, 1933","Paddington, New South Wales, Australia"
0,12182,Vince EVERINGHAM,Vince Everingham,,
0,10543,Ken STUBBS,Ken Stubbs,,
0,11542,Barry BEECHE,Barry Beeche,,
0,11717,Kevin BROWN,Kevin Brown,,
0,10759,Pat FITZGERALD,Pat Fitzgerald,"Wednesday, 5th May, 1937",
0,11731,Doug CAMERON,Doug Cameron,"Thursday, 15th August, 1935",
0,10548,Arthur LANG,Arthur Lang,"Wednesday, 10th March, 1937",
0,5957,Peter DIMOND,Peter Dimond,"Monday, 28th November, 1938","Dapto, New South Wales, Australia"
0,10556,Doug JONES,Doug 'Jumbo' Jones,1938,
0,10544,Richie POWELL,Richie Powell,"Tuesday, 17th January, 1939","Waterloo, New South Wales, Australia"
0,12959,Jack MANTLE,Jack Mantle,1931,
0,11880,John CORRIGAN,John Corrigan,,
0,12981,Bob MAVIN,Bob Mavin,,
0,11748,Ross CARSON,Ross Carson,,
0,10789,Bill McCALL,Bill McCall,"Saturday, 25th June, 1938",
0,10572,Bill TONKIN,Bill Tonkin,,
0,10580,Mick VAUGHAN,Mick Vaughan,"Friday, 23rd February, 1934",
0,13513,Jim HALL,Jim Hall,"Thursday, 12th May, 1932",
0,5986,Frank DRAKE,Frank Drake,"Wednesday, 15th February, 1939",
0,10563,John BULLUSS,John Bulluss,,
0,13264,Rod PAYNE,Rod Payne,,
0,10553,John VESPER,John Vesper,"Monday, 1st July, 1935",
0,10577,Johnny JONES,Johnny Jones,1938,
0,10549,Ken PEET,Ken Peet,"Friday, 16th October, 1936","Dubbo, New South Wales, Australia"
0,10566,John RUSSELL,John Russell,"Friday, 18th November, 1938","Bankstown, New South Wales, Australia"
0,10688,Russ BUTLER,Russ Butler,,
0,10582,Carl RUMPH,Carl Rumph,,
0,10724,Bob AMBROSE,Bob Ambrose,,
0,12587,Peter HORNE,Peter Horne,,
0,10557,Don MALONE,Don 'Irish' Malone,"Wednesday, 1st June, 1938",
0,10585,Bernie KELLY,Bernie Kelly,"Monday, 26th April, 1937","Quirindi, New South Wales, Australia"
0,10561,Johnny FERGUSON,Johnny Ferguson,"Friday, 2nd April, 1937",
0,10564,Bob COOLEY,Bob Cooley,,
0,13258,Jack PATTERSON,Jack Patterson,,
0,10615,Lindsay ARMOUR,Lindsay Armour,,
0,13360,Dick RICHARDS,Dick 'Dick' Richards,,
0,10620,Col ALTERATOR,Col Alterator,,
0,11512,Bruce BARTLETT,Bruce Bartlett,,
0,10655,Dave HOLMAN,Dave Holman,,
0,10581,Brian MESSITER,Brian Messiter,,
0,12378,Warren GLANVILLE,Warren Glanville,,
0,5981,Ray BEAVEN,Ray Beaven,"Sunday, 26th July, 1936","Yass, New South Wales, Australia"
0,10595,Dick O'GRADY,Dick O'Grady,,
0,5975,Ken IRVINE,Ken Irvine,"Tuesday, 5th March, 1940","Cromer, New South Wales, Australia"
0,13837,Bernie JONES,Bernie Jones,,
0,10691,Bob McWILLIAMS,Bob McWilliams,,
0,28026,R OVERTON,R Overton,,
0,10578,Vic MOSSMAN,Vic Mossman,"Sunday, 2nd December, 1934",
0,10592,Noel DOLTON,Noel Dolton,"Tuesday, 22nd December, 1936",
0,13117,Don McINTYRE,Don McIntyre,"Saturday, 7th August, 1937",
0,10587,Doug MOORE,Doug Moore,,
0,12069,John DAWSON,John 'Fizzer' Dawson,"Friday, 8th February, 1935","Sydney, New South Wales, Australia"
0,10584,Darcy TOSH,Darcy Tosh,"Wednesday, 6th May, 1936",
0,13149,Don McPHERSON,Don McPherson,,
0,10611,Ray LOVE,Ray Love,1934,
