,player_id,player_name_comma,player_birthday,total_matches,total_points
0,11413,"ABBERTON, Leo",1903-08-20,3,-
0,23416,"ABBEY, Brad",1996-12-30,14,10
0,11414,"ABBOTT, Albert",1885-04-02,5,-
0,11417,"ABBOTT, Bill",-,2,-
0,11415,"ABBOTT, John",1953-12-15,8,-
0,9756,"ABBOTT, Lance",1889-12-08,1,-
0,11416,"ABBOTT, Les",1915-11-12,16,6
0,9681,"ABEL, Johnny",1911-07-14,31,26
0,10954,"ABERCROMBIE, Gordon",-,52,75
0,3587,"ABERCROMBIE, Jim",1880-12-31,12,10
0,9214,"ABOTOMEY, Cecil",1902-07-04,21,14
0,282,"ABRAHAM, Daniel",1981-03-11,106,198
0,10221,"ABRAHAMSEN, Kevin",1927-07-04,11,57
0,11418,"ACHESON, Jim",1915-06-16,3,-
0,19581,"ACHURCH, Mitch",1988-07-14,11,-
0,11419,"ACKLING, Ronald",1913-11-08,2,-
0,3913,"ADAM, John",1955-10-22,156,139
0,20770,"ADAMS, Alfred",1880-08-02,1,-
0,9403,"ADAMS, Allan",1896-08-18,15,44
0,11421,"ADAMS, Arthur",-,4,12
0,19768,"ADAMS, Chris",1986-08-12,8,-
0,14250,"ADAMS, Corey",1962-02-12,6,-
0,3983,"ADAMS, David",-,9,3
0,6382,"ADAMS, Mick",1951-09-28,23,24
0,9031,"ADAMS, Roy",-,20,3
0,11422,"ADAMS, Steven",-,1,-
0,11292,"ADAMS, Terry",1953-10-22,73,48
0,697,"ADAMSON, Grant",-,1,-
0,458,"ADAMSON, Matt",1972-08-14,175,132
0,468,"ADAMSON, Phil",1970-03-20,108,92
0,11423,"ADDISON, Russell",-,10,-
0,22717,"ADDO-CARR, Josh",1995-07-28,179+,562
0,26265,"AEKINS, Caleb",1997-11-21,19,-
0,1770,"AFAMASAGA, Jack",1984-06-02,36,4
0,1871,"AFFLICK, Mark",1970-05-02,44,-
0,22795,"AFOA, Bunty",1996-08-20,138+,32
0,725,"AFOA, Fa'ausu",1969-09-29,22,4
0,9228,"AGAR, George",1902-10-07,15,6
0,7546,"AGGETT, Keith",1931-11-12,40,12
0,4037,"AH KUOI, Fred",1956-06-07,27,12
