,match_id,ref_id
0,38454,42376
0,38454,42650
0,38455,42697
0,38455,42804
0,38456,42093
0,38456,42499
0,38457,42480
0,38457,42701
0,38458,42498
0,38458,42908
0,38459,42134
0,38459,42748
0,38460,42116
0,38460,42614
0,38461,42495
0,38461,42813
0,38462,42376
0,38462,42697
0,38463,42498
0,38463,42804
0,38464,42093
0,38464,42499
0,38465,42480
0,38465,42701
0,38466,42495
0,38466,42549
0,38467,42086
0,38467,42614
0,38468,42134
0,38468,42748
0,38469,42116
0,38469,42650
0,38470,42134
0,38470,42748
0,38471,42480
0,38471,42701
0,38472,42376
0,38472,42697
0,38473,42495
0,38473,42549
0,38474,42086
0,38474,42804
0,38475,42116
0,38475,42908
0,38476,42093
0,38476,42499
0,38477,42614
0,38477,42650
0,38477,42813
0,38478,42116
0,38478,42804
0,38479,42697
0,38479,42701
0,38480,42376
0,38480,42748
0,38481,42499
0,38481,42813
0,38482,42093
0,38482,42495
0,38483,42549
0,38483,42614
0,38484,42134
0,38484,42480
0,38485,42086
0,38485,42908
0,38486,42134
0,38486,42748
0,38487,42495
0,38487,42813
0,38488,42093
0,38488,42499
0,38489,42549
0,38489,42614
0,38490,42697
0,38490,42701
0,38491,42086
0,38491,42804
0,38492,42116
0,38492,42376
0,38493,1692
0,38493,42480
0,38494,42134
0,38494,42748
0,38495,1692
0,38495,42480
0,38496,42116
0,38496,42499
0,38497,42697
0,38497,42701
0,38498,42495
0,38498,42813
0,38499,42549
0,38499,42804
0,38500,42086
0,38500,42908
0,38501,42376
0,38501,42614
0,38502,42134
0,38502,42499
0,38503,42086
0,38503,42495
0,38504,42549
0,38504,42804
0,38505,42116
0,38505,42748
0,38506,42697
0,38506,42701
0,38507,1692
0,38507,42480
0,38508,42376
0,38508,42498
0,38509,42499
0,38509,42614
0,38510,42376
0,38510,42697
0,38511,42093
0,38511,42498
0,38512,42134
0,38512,42748
0,38513,42495
0,38513,42499
0,38514,1692
0,38514,42701
0,38515,42086
0,38515,42480
0,38516,42549
0,38516,42804
0,38517,42116
0,38517,42614
0,38518,42495
0,38518,42499
0,38519,42549
0,38519,42614
0,38520,42134
0,38520,42748
0,38521,42086
0,38521,42480
0,38522,42093
0,38522,42498
0,38523,1692
0,38523,42701
0,38524,42376
0,38524,42697
0,38525,42116
0,38525,42804
0,38526,42093
0,38526,42498
0,38527,1692
0,38527,42701
0,38528,42495
0,38528,42499
0,38529,42697
0,38529,42748
0,38530,42549
0,38530,42804
0,38531,42134
0,38531,42614
0,38532,42376
0,38532,42813
0,38533,42086
0,38533,42116
0,38534,42495
0,38534,42499
0,38535,42086
0,38535,42804
0,38536,42134
0,38536,42697
0,38537,1692
0,38537,42701
0,38538,42116
0,38538,42748
0,38539,42376
0,38539,42813
0,38540,42549
0,38540,42614
0,38541,42093
0,38541,42498
0,38542,42134
0,38542,42697
0,38543,42093
0,38543,42498
0,38544,42495
0,38544,42499
0,38545,1692
0,38545,42701
0,38547,42495
0,38547,42499
0,38548,42086
0,38548,42908
0,38549,1692
0,38549,42701
0,38550,42614
0,38550,42697
0,38551,42093
0,38551,42498
0,38552,42549
0,38552,42804
0,38553,42134
0,38553,42748
0,38554,42376
0,38554,42813
0,38555,42116
0,38555,42697
0,38556,42499
0,38556,42748
0,38557,42134
0,38557,42495
0,38558,42093
0,38558,42376
0,38559,42498
0,38559,42701
0,38560,1692
0,38560,42813
0,38561,42549
0,38561,42804
0,38562,42086
0,38562,42908
0,38564,42093
