,ref_id,ref_name_comma,ref_name,ref_birthday
0,42070,"ALEXANDER, Rob",Rob Alexander,
0,42066,"ALMOND, Neil",Neil Almond,
0,42078,"ANNESLEY, Graham",Graham Annesley,26 May 1957
0,42083,"ARCHER, Tony",Tony Archer,
0,42499,"ATKINS, Grant",Grant Atkins,3 Apr 1982
0,42093,"BADGER, Gavin",Gavin Badger,
0,42851,"BADGER, Kasey",Kasey Badger,11 Mar 1987
0,42338,"BAGGOTT, Leo",Leo Baggott,12 Sep 1901
0,42225,"BALLERUM, Arthur",Arthur Ballerum,11 Apr 1885
0,42137,"BARNES, Barry",Barry Barnes,
0,42277,"BARRY, Brian",Brian Barry,6 Feb 1924
0,42330,"BATES, J",J Bates,
0,42281,"BENNETT, Gary",Gary Bennett,
0,5776,"BISHOP, George",George Bishop,19 Nov 1902
0,42152,"BISSETT, Noel",Noel Bissett,1 Dec 1937
0,42236,"BLACK, Joe",Joe Black,
0,42233,"BOLTON, A",A Bolton,
0,42221,"BOSS, George",George Boss,
0,42447,"BOYD, G",G Boyd,
0,42145,"BOYD, Greg",Greg Boyd,
0,10442,"BRADLEY, Jack",Jack Bradley,
0,11623,"BRADSTOCK, Barry",Barry Bradstock,
0,42287,"BRAINE, George",George Braine,
0,42250,"BRANNAGHAN, Mick",Mick Brannaghan,
0,42143,"BRAYBROOK, Denis",Denis Braybrook,
0,42367,"BROWN, C",C Brown,
0,42289,"BROWN, Cliff",Cliff Brown,
0,42234,"BROWN, S",S Brown,
0,42269,"BRUYERES, Laurie",Laurie Bruyeres,12 Jul 1923
0,42240,"BUCHANAN, J",J Buchanan,
0,42320,"BUCKLEY, Eric",Eric Buckley,
0,42614,"BUTLER, Chris",Chris Butler,
0,42216,"CAILLOL, Marcel",Marcel Caillol,
0,42085,"CARRALL, Steve",Steve Carrall,
0,42328,"CARRICK, H",H Carrick,
0,42908,"CASSIDY, Adam",Adam Cassidy,
0,42086,"CECCHIN, Matt",Matt Cecchin,
0,42079,"CHIDDY, Steve",Steve Chiddy,
0,42305,"CHRISTIE, A",A Christie,
0,9057,"CLAMBACK, George",George 'Clammy' Clamback,30 Jun 1894
0,42076,"CLARK, Steve",Steve Clark,
0,42350,"COLE, W",W Cole,
0,42501,"COOK, Ernie",Ernie Cook,
0,42205,"COOK, Gary",Gary Cook,
0,42267,"COOK, T",T Cook,
0,42115,"COOLEY, Phil",Phil Cooley,18 Sep 1951
0,42198,"COSTELLO, Tom",Tom Costello,
