,team_short,team_name
0,Canberra,"Canberra
RAIDERS"
0,Penrith,"Penrith
PANTHERS"
0,Cronulla,"Cronulla Sutherland
SHARKS"
0,Sydney,"Sydney
ROOSTERS"
0,Brisbane,"Brisbane
BRONCOS"
0,Newcastle,"Newcastle
KNIGHTS"
0,South Sydney,"South Sydney
RABBITOHS"
0,St Geo Illa,"St George Illawarra
DRAGONS"
0,Canterbury,"Canterbury Bankstown
BULLDOGS"
0,Manly,"Manly Warringah
SEA EAGLES"
0,North Qld,"North Queensland
COWBOYS"
0,Melbourne,"Melbourne
STORM"
0,Parramatta,"Parramatta
EELS"
0,Gold Coast,"Gold Coast
TITANS"
