,match_id,coach_id,team
0,44910,1383,"Sydney (W)
ROOSTERS"
0,44910,30147,"St George Illawarra (W)
DRAGONS"
0,44911,30181,"Brisbane (W)
BRONCOS"
0,44911,30276,NEW ZEALAND WARRIORS (W)
0,44933,30276,NEW ZEALAND WARRIORS (W)
0,44933,1383,"Sydney (W)
ROOSTERS"
0,44934,30147,"St George Illawarra (W)
DRAGONS"
0,44934,30181,"Brisbane (W)
BRONCOS"
0,44937,30147,"St George Illawarra (W)
DRAGONS"
0,44937,30276,NEW ZEALAND WARRIORS (W)
0,44938,1383,"Sydney (W)
ROOSTERS"
0,44938,30181,"Brisbane (W)
BRONCOS"
0,44945,30181,"Brisbane (W)
BRONCOS"
0,44945,1383,"Sydney (W)
ROOSTERS"
