,coach_id,coach_name_comma,coach_name,coach_birthday
0,30128,"AVAIKI, Luisa",Luisa Avaiki,-
0,44728,"BORTHWICK, Darrin",Darrin Borthwick,-
0,31595,"BROMILOW, Casey",Casey Bromilow,1984-02-12
0,30276,"DONALD, Brad",Brad Donald,-
0,30146,"DYER, Paul",Paul Dyer,-
0,1383,"FEENEY, Jamie",Jamie Feeney,1978-04-09
0,543,"GEORGALLIS, Steve",Steve Georgallis,1968-06-17
0,33995,"GRIFFITHS (N), Ron",Ron Griffiths,-
0,30127,"HARTIGAN, Adam",Adam Hartigan,1985-08-03
0,34645,"HENRY, Ricky",Ricky Henry,-
0,392,"HERMAN, Tony",Tony Herman,1967-08-18
0,2350,"JEFFRIES, Ben",Ben Jeffries,1980-09-04
0,293,"KIMMORLEY, Brett",Brett Kimmorley,1976-09-15
0,30147,"LACEY, Daniel",Daniel Lacey,-
0,33957,"MURPHY, Karyn",Karyn Murphy,1970-06-14
0,59,"PRINCE, Scott",Scott Prince,1980-02-27
0,1388,"SOWARD, Jamie",Jamie Soward,1984-11-13
0,1195,"STONE, Rick",Rick Stone,1967-02-14
0,17710,"STRANGE, John",John Strange,1975-01-22
0,771,"WIDDERS, Dean",Dean Widders,1979-10-25
0,30181,"WRIGHT, Kelvin",Kelvin Wright,1980-11-30
