,player_id,player_name1,player_name2,birthday,birthplace
0,30093,Botille VETTE-WELSH,Botille Vette-Welsh,"Friday, 13th September, 1996",
0,30110,Apii NICHOLLS-PUALAU,Apii Nicholls-Pualau,"Friday, 26th February, 1993",
0,30094,Taleena SIMON,Taleena Simon,"Friday, 18th December, 1992",
0,30111,Langi VEAINU,Langi Veainu,,
0,30095,Shontelle STOWERS,Shontelle Stowers,"Friday, 14th November, 1986",
0,30112,Shontelle WOODMAN,Shontelle Woodman,,
0,30096,Isabelle KELLY,Isabelle Kelly,"Friday, 20th September, 1996","Gosford, New South Wales, Australia"
0,30113,Sarina CLARK,Sarina Clark,,
0,30097,Karina BROWN,Karina Brown,"Thursday, 9th March, 1989",
0,30114,Hilda MARIU,Hilda Mariu,,
0,30098,Lavina O'MEALEY,Lavina O'Mealey,"Monday, 26th March, 1984",
0,30115,Laura MARIU,Laura Mariu,,
0,30099,Maddie STUDDON,Maddie Studdon,"Sunday, 16th October, 1994",
0,30116,Georgia HALE,Georgia Hale,"Wednesday, 9th August, 1995","Auckland, Auckland, New Zealand"
0,30100,Simaima TAUFA,Simaima Taufa,"Thursday, 28th April, 1994","Tofoa, Tonga"
0,33613,Annetta NU'UAUSALA,Annetta Nu'uausala,"Sunday, 22nd January, 1995","Auckland, Auckland, New Zealand"
0,30101,Kylie HILDER,Kylie Hilder,"Thursday, 1st April, 1976",
0,30118,Krystal ROTA,Krystal Rota,"Thursday, 3rd October, 1985","Auckland, Auckland, New Zealand"
0,30102,Elianna WALTON,Elianna Walton,"Tuesday, 18th December, 1984","Auckland, Auckland, New Zealand"
0,30119,Aieshaleigh SMALLEY,Aieshaleigh Smalley,,
0,30103,Tazmin GRAY,Tazmin Gray,"Friday, 4th August, 1995",
0,30120,Onjeurlina LEIATAUA,Onjeurlina Leiataua,,
0,30104,Vanessa FOLIAKI,Vanessa Foliaki,"Sunday, 22nd August, 1993",
0,30121,Alice VARELA,Alice Varela,,
0,30105,Zahara TEMARA,Zahara Temara,"Friday, 4th July, 1997",
0,30122,Luisa GAGO,Luisa Gago,,
