,match_id,player_id,score,n_scores
0,44910,30182,T,1
0,44910,30197,T,1
0,44910,30215,T,1
0,44910,30106,T,1
0,44910,30105,G,3/4
0,44910,30152,G,0/1
0,44911,30201,T,3
0,44911,30270,T,1
0,44911,30143,T,1
0,44911,30269,T,1
0,44911,30130,T,1
0,44911,30207,T,1
0,44911,30133,G,4/5
0,44911,30184,G,1/3
0,44933,30184,T,1
0,44933,30252,T,1
0,44933,30269,T,1
0,44933,30215,T,1
0,44933,30213,T,1
0,44933,30105,T,1
0,44933,30184,G,2/2
0,44933,30105,G,3/4
0,44934,30150,T,1
0,44934,30264,T,1
0,44934,30203,T,1
0,44934,30130,T,1
0,44934,30099,G,0/1
0,44934,30133,G,3/3
0,44937,30439,T,1
0,44937,30272,T,2
0,44937,30211,T,1
0,44937,30190,T,1
0,44937,30270,T,1
0,44937,30269,T,1
0,44937,30439,G,1/1
0,44937,30184,G,1/5
0,44937,30161,G,0/1
0,44938,30182,T,1
0,44938,30205,T,1
0,44938,30153,T,1
0,44938,30135,T,1
0,44938,30094,T,1
0,44938,30201,T,1
0,44938,30133,T,1
0,44938,30105,G,2/3
0,44938,30133,G,4/4
0,44945,30204,T,1
0,44945,30252,T,1
0,44945,30175,T,1
0,44945,30215,T,1
0,44945,30143,T,1
0,44945,30201,T,1
0,44945,30133,G,2/4
0,44945,30105,G,1/2
