,match_id,ref_id
0,63019,42916
0,63020,42834
0,63021,43113
0,63022,43150
0,63023,43053
0,63024,43150
0,63025,42753
0,63026,47125
0,63027,42916
0,63028,43053
0,63033,43053
0,63032,42851
0,63029,43150
0,63030,42753
0,63031,47125
0,63034,43149
0,63035,42753
0,63036,47125
0,63037,43150
0,63038,42834
0,63039,42916
0,63040,47125
0,63041,43007
0,63042,43150
0,63043,43149
0,63044,42748
0,63045,43150
0,63046,47125
0,63047,43007
0,63048,42916
0,63053,43007
0,63049,43053
0,63050,42916
0,63051,47125
0,63052,42748
0,63054,47125
0,63055,43007
0,63056,42916
0,63057,42748
0,63058,43053
0,63059,43053
0,63060,43007
0,63061,42916
0,63062,47125
0,63063,42748
0,103141,42916
0,103142,42748
0,103148,42748
