,coach_id,coach_name
0,6025,John McDONALD
0,3730,Ted GLOSSOP
0,1509,Arthur BEETSON
0,6008,Frank STANTON
0,3734,Des MORRIS
0,3733,Terry FEARNLEY
0,6075,Wayne BENNETT
0,5925,Ron WILLEY
0,6109,John PEARD
0,3737,Jack GIBSON
0,3738,Graham LOWE
0,2835,Tim SHEENS
0,3134,Phil GOULD
0,892,Wally LEWIS
0,1059,Paul VAUTIN
0,1520,Tom RAUDONIKIS
0,1533,Mark MURRAY
0,873,Wayne PEARCE
0,1070,Michael HAGAN
0,211,Ricky STUART
0,2826,Graham MURRAY
0,918,Mal MENINGA
0,902,Craig BELLAMY
0,210,Laurie DALEY
0,226,Kevin WALTERS
0,470,Brad FITTLER
0,407,Paul GREEN
0,735,Billy SLATER
0,1822,Michael MAGUIRE
