,match_id,coach_id,team
0,2295,6025,MAROONS
0,2295,3730,BLUES
0,2296,1509,MAROONS
0,2296,3730,BLUES
0,2297,1509,MAROONS
0,2297,6008,BLUES
0,2298,1509,MAROONS
0,2298,6008,BLUES
0,2299,6008,BLUES
0,2299,1509,MAROONS
0,2300,1509,MAROONS
0,2300,3730,BLUES
0,2301,3730,BLUES
0,2301,1509,MAROONS
0,2302,1509,MAROONS
0,2302,3730,BLUES
0,2303,1509,MAROONS
0,2303,6008,BLUES
0,2304,6008,BLUES
0,2304,1509,MAROONS
0,2305,1509,MAROONS
0,2305,6008,BLUES
0,2306,3734,MAROONS
0,2306,3733,BLUES
0,2307,3733,BLUES
0,2307,3734,MAROONS
0,2308,3734,MAROONS
0,2308,3733,BLUES
0,2309,6075,MAROONS
0,2309,5925,BLUES
0,2310,5925,BLUES
0,2310,6075,MAROONS
0,2311,6075,MAROONS
0,2311,5925,BLUES
0,2312,6075,MAROONS
0,2312,5925,BLUES
0,2313,5925,BLUES
0,2313,6075,MAROONS
0,2314,6075,MAROONS
0,2314,5925,BLUES
0,2388,5925,BLUES
0,2388,6075,MAROONS
0,2315,6109,BLUES
0,2315,6075,MAROONS
0,2316,6075,MAROONS
0,2316,6109,BLUES
0,2317,6109,BLUES
0,2317,6075,MAROONS
0,2318,1509,MAROONS
0,2318,3737,BLUES
0,2319,3737,BLUES
0,2319,1509,MAROONS
0,2320,1509,MAROONS
0,2320,3737,BLUES
0,2321,3737,BLUES
0,2321,1509,MAROONS
0,2322,3737,BLUES
0,2322,1509,MAROONS
0,2323,1509,MAROONS
0,2323,3737,BLUES
0,2342,3738,MAROONS
0,2342,2835,BLUES
0,2343,2835,BLUES
0,2343,3738,MAROONS
0,2344,3738,MAROONS
0,2344,2835,BLUES
0,2345,3134,BLUES
0,2345,3738,MAROONS
0,2346,3738,MAROONS
0,2346,3134,BLUES
0,2347,3134,BLUES
0,2347,3738,MAROONS
0,2348,892,MAROONS
0,2348,3134,BLUES
0,2349,3134,BLUES
0,2349,892,MAROONS
0,2350,892,MAROONS
0,2350,3134,BLUES
0,2351,3134,BLUES
0,2351,892,MAROONS
0,2352,3134,BLUES
0,2352,892,MAROONS
0,2353,892,MAROONS
0,2353,3134,BLUES
0,2354,3134,BLUES
0,2354,1059,MAROONS
0,2355,3134,BLUES
0,2355,1059,MAROONS
0,2356,1059,MAROONS
0,2356,3134,BLUES
0,2357,1059,MAROONS
0,2357,3134,BLUES
0,2358,3134,BLUES
0,2358,1059,MAROONS
0,2359,1059,MAROONS
0,2359,3134,BLUES
0,2360,1059,MAROONS
0,2360,1520,BLUES
0,2361,1520,BLUES
0,2361,1059,MAROONS
0,2362,1520,BLUES
0,2362,1059,MAROONS
0,2367,1520,BLUES
0,2367,6075,MAROONS
0,2368,6075,MAROONS
0,2368,1520,BLUES
0,2369,1520,BLUES
0,2369,6075,MAROONS
0,2370,1533,MAROONS
0,2370,873,BLUES
0,2371,873,BLUES
0,2371,1533,MAROONS
0,2372,1533,MAROONS
0,2372,873,BLUES
0,2373,873,BLUES
0,2373,1533,MAROONS
0,2374,1533,MAROONS
0,2374,873,BLUES
0,2375,873,BLUES
0,2375,1533,MAROONS
0,2376,6075,MAROONS
0,2376,873,BLUES
0,2377,873,BLUES
0,2377,6075,MAROONS
0,2378,6075,MAROONS
0,2378,873,BLUES
0,2379,3134,BLUES
0,2379,6075,MAROONS
0,2380,6075,MAROONS
0,2380,3134,BLUES
0,2381,3134,BLUES
0,2381,6075,MAROONS
0,2382,6075,MAROONS
0,2382,3134,BLUES
0,2383,3134,BLUES
0,2383,6075,MAROONS
0,2384,6075,MAROONS
0,2384,3134,BLUES
0,2385,3134,BLUES
0,2385,1070,MAROONS
0,2386,1070,MAROONS
0,2386,3134,BLUES
0,2387,3134,BLUES
0,2387,1070,MAROONS
0,2294,1070,MAROONS
0,2294,211,BLUES
0,2439,211,BLUES
0,2439,1070,MAROONS
0,2939,1070,MAROONS
0,2939,211,BLUES
0,4023,2826,BLUES
0,4023,918,MAROONS
0,4024,918,MAROONS
0,4024,2826,BLUES
0,4025,2826,BLUES
0,4025,918,MAROONS
0,7986,918,MAROONS
0,7986,2826,BLUES
0,7987,2826,BLUES
0,7987,918,MAROONS
0,7988,918,MAROONS
0,7988,2826,BLUES
0,15004,902,BLUES
0,15004,918,MAROONS
0,15005,918,MAROONS
0,15005,902,BLUES
0,15006,902,BLUES
0,15006,918,MAROONS
0,15762,918,MAROONS
0,15762,902,BLUES
0,15955,902,BLUES
0,15955,918,MAROONS
0,15956,918,MAROONS
0,15956,902,BLUES
0,20061,902,BLUES
0,20061,918,MAROONS
0,20062,918,MAROONS
0,20062,902,BLUES
0,20063,902,BLUES
0,20063,918,MAROONS
0,21586,918,MAROONS
0,21586,211,BLUES
0,21587,211,BLUES
0,21587,918,MAROONS
0,21588,918,MAROONS
0,21588,211,BLUES
0,28127,211,BLUES
0,28127,918,MAROONS
0,28137,211,BLUES
0,28137,918,MAROONS
0,28185,918,MAROONS
0,28185,211,BLUES
0,28914,210,BLUES
0,28914,918,MAROONS
0,28915,918,MAROONS
0,28915,210,BLUES
0,28916,210,BLUES
0,28916,918,MAROONS
0,29003,918,MAROONS
0,29003,210,BLUES
0,29004,210,BLUES
0,29004,918,MAROONS
0,29005,918,MAROONS
0,29005,210,BLUES
0,30682,210,BLUES
0,30682,918,MAROONS
0,30694,918,MAROONS
0,30694,210,BLUES
0,30705,918,MAROONS
0,30705,210,BLUES
0,31070,210,BLUES
0,31070,226,MAROONS
0,31090,226,MAROONS
0,31090,210,BLUES
0,31151,210,BLUES
0,31151,226,MAROONS
0,36095,226,MAROONS
0,36095,210,BLUES
0,36096,210,BLUES
0,36096,226,MAROONS
0,36097,226,MAROONS
0,36097,210,BLUES
0,38215,226,MAROONS
0,38215,470,BLUES
0,38216,470,BLUES
0,38216,226,MAROONS
0,38217,226,MAROONS
0,38217,470,BLUES
0,38546,226,MAROONS
0,38546,470,BLUES
0,38563,226,MAROONS
0,38563,470,BLUES
0,38575,470,BLUES
0,38575,226,MAROONS
0,40245,6075,MAROONS
0,40245,470,BLUES
0,40246,470,BLUES
0,40246,6075,MAROONS
0,40247,6075,MAROONS
0,40247,470,BLUES
0,45336,407,MAROONS
0,45336,470,BLUES
0,45375,407,MAROONS
0,45375,470,BLUES
0,45376,470,BLUES
0,45376,407,MAROONS
0,49545,470,BLUES
0,49545,735,MAROONS
0,51468,470,BLUES
0,51468,735,MAROONS
0,51534,735,MAROONS
0,51534,470,BLUES
0,54602,735,MAROONS
0,54602,470,BLUES
0,54603,735,MAROONS
0,54603,470,BLUES
0,54604,470,BLUES
0,54604,735,MAROONS
0,63125,1822,BLUES
0,63125,735,MAROONS
0,63126,1822,BLUES
0,63126,735,MAROONS
