,year,date,time,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,1980,"Tuesday, 8th July, 1980",8:00 PM (local time),2295,22,"33,210",988,MAROONS,9,20,12,BLUES,5,10,14
0,1981,"Tuesday, 28th July, 1981",8:00 PM (local time),2296,22,"25,613",988,MAROONS,5,22,14,BLUES,15,15,5
0,1982,"Tuesday, 1st June, 1982",8:00 PM (local time),2297,22,"27,326",918,MAROONS,6,16,15,BLUES,12,20,8
0,1982,"Tuesday, 8th June, 1982",8:00 PM (local time),2298,22,"19,435",1511,MAROONS,5,11,14,BLUES,3,7,11
0,1982,"Tuesday, 22nd June, 1982",8:00 PM (local time),2299,24,"20,242",892,BLUES,3,5,15,MAROONS,5,10,11
0,1983,"Tuesday, 7th June, 1983",8:05 PM (local time),2300,22,"29,412",892,MAROONS,18,24,14,BLUES,6,12,12
0,1983,"Tuesday, 21st June, 1983",8:00 PM (local time),2301,24,"21,620",1125,BLUES,6,10,11,MAROONS,6,6,7
0,1983,"Tuesday, 28th June, 1983",8:05 PM (local time),2302,22,"26,084",892,MAROONS,21,43,8,BLUES,0,22,7
0,1984,"Tuesday, 29th May, 1984",7:30 PM (local time),2303,22,"33,662",892,MAROONS,15,29,8,BLUES,6,12,7
0,1984,"Tuesday, 19th June, 1984",7:35 PM (local time),2304,24,"29,088",892,BLUES,0,2,5,MAROONS,0,14,6
0,1984,"Tuesday, 17th July, 1984",7:35 PM (local time),2305,22,"16,559",1548,MAROONS,6,12,10,BLUES,8,22,8
0,1985,"Tuesday, 28th May, 1985",7:35 PM (local time),2306,22,"33,011",1129,MAROONS,2,2,10,BLUES,4,18,8
0,1985,"Tuesday, 11th June, 1985",7:35 PM (local time),2307,24,"39,068",892,BLUES,12,21,5,MAROONS,8,14,4
0,1985,"Tuesday, 23rd July, 1985",7:35 PM (local time),2308,22,"18,825",1157,MAROONS,6,20,8,BLUES,0,6,4
0,1986,"Tuesday, 27th May, 1986",7:35 PM (local time),2309,22,"33,066",1144,MAROONS,10,16,9,BLUES,12,22,4
0,1986,"Tuesday, 10th June, 1986",7:35 PM (local time),2310,24,"40,707",1125,BLUES,12,24,7,MAROONS,12,20,4
0,1986,"Tuesday, 1st July, 1986",7:35 PM (local time),2311,22,"21,097",1113,MAROONS,16,16,5,BLUES,16,18,7
0,1987,"Tuesday, 2nd June, 1987",7:35 PM (local time),2312,22,"33,411",412,MAROONS,6,16,8,BLUES,10,20,5
0,1987,"Tuesday, 16th June, 1987",7:35 PM (local time),2313,24,"42,048",1125,BLUES,6,6,4,MAROONS,4,12,9
0,1987,"Wednesday, 15th July, 1987",7:35 PM (local time),2314,22,"32,602",227,MAROONS,10,10,6,BLUES,8,8,6
0,1987,"Thursday, 6th August, 1987",,2388,50,"12,349",1125,BLUES,10,30,8,MAROONS,2,18,14
0,1988,"Tuesday, 17th May, 1988",7:30 PM (local time),2315,1,"26,441",227,BLUES,6,18,5,MAROONS,12,26,1
0,1988,"Tuesday, 31st May, 1988",7:35 PM (local time),2316,22,"31,817",879,MAROONS,4,16,9,BLUES,6,6,6
0,1988,"Tuesday, 21st June, 1988",7:30 PM (local time),2317,1,"16,910",879,BLUES,18,22,7,MAROONS,18,38,3
0,1989,"Tuesday, 23rd May, 1989",7:35 PM (local time),2318,22,"33,088",4,MAROONS,18,36,6,BLUES,0,6,4
0,1989,"Wednesday, 14th June, 1989",7:35 PM (local time),2319,1,"40,000",892,BLUES,6,12,5,MAROONS,6,16,3
0,1989,"Wednesday, 28th June, 1989",7:35 PM (local time),2320,22,"33,268",229,MAROONS,8,36,5,BLUES,12,16,5
0,1990,"Wednesday, 9th May, 1990",8:00 PM (local time),2321,1,"41,235",858,BLUES,6,8,9,MAROONS,0,0,5
0,1990,"Wednesday, 30th May, 1990",8:00 PM (local time),2322,12,"25,800",211,BLUES,6,12,3,MAROONS,0,6,7
0,1990,"Wednesday, 13th June, 1990",8:00 PM (local time),2323,22,"31,416",1001,MAROONS,10,14,8,BLUES,10,10,5
0,1991,"Wednesday, 8th May, 1991",8:00 PM (local time),2342,22,"32,400",892,MAROONS,2,6,6,BLUES,0,4,3
