,player_id,player_name1,player_name2,birthday,birthplace
0,1503,Colin SCOTT,Colin Scott,"Tuesday, 22nd March, 1960",
0,1514,Graham EADIE,Graham 'Wombat' Eadie,"Wednesday, 25th November, 1953","Woy Woy, New South Wales, Australia"
0,1082,Kerry BOUSTEAD,Kerry 'Bowie' Boustead,"Wednesday, 12th August, 1959","Innisfail, Queensland, Australia"
0,1515,Chris ANDERSON,Chris 'Opes' Anderson,"Wednesday, 28th May, 1952","Condobolin, New South Wales, Australia"
0,918,Mal MENINGA,Mal Meninga,"Friday, 8th July, 1960","Bundaberg, Queensland, Australia"
0,6089,Michael CRONIN,Michael 'Crow' Cronin,"Thursday, 28th June, 1951","Kiama, New South Wales, Australia"
0,988,Chris CLOSE,Chris 'Choppy' Close,"Thursday, 5th February, 1959","Cunnamulla, Queensland, Australia"
0,1516,Steve ROGERS,Steve Rogers,"Saturday, 20th November, 1954","Sutherland, New South Wales, Australia"
0,1504,Brad BACKER,Brad Backer,"Thursday, 19th July, 1956",
0,1518,Greg BRENTNALL,Greg Brentnall,"Wednesday, 5th December, 1956","Wagga Wagga, New South Wales, Australia"
0,1505,Alan SMITH,Alan Smith,"Monday, 2nd May, 1955","Toowoomba, Queensland, Australia"
0,1519,Alan THOMPSON,Alan Thompson,"Saturday, 10th October, 1953","Sydney, New South Wales, Australia"
0,1506,Greg OLIPHANT,Greg Oliphant,"Thursday, 22nd June, 1950","Brisbane, Queensland, Australia"
0,1520,Tom RAUDONIKIS,Tom Raudonikis,"Thursday, 13th April, 1950","Bathurst, New South Wales, Australia"
0,892,Wally LEWIS,Wally Lewis,"Tuesday, 1st December, 1959","Brisbane, Queensland, Australia"
0,1521,Jim LEIS,Jim Leis,"Saturday, 10th October, 1959",
0,1507,Rod REDDY,Rod Reddy,"Monday, 1st March, 1954","Rockhampton, Queensland, Australia"
0,1171,Graeme WYNN,Graeme Wynn,"Sunday, 19th April, 1959","Thirroul, New South Wales, Australia"
0,1508,Rohan HANCOCK,Rohan Hancock,"Saturday, 18th June, 1955","Toowoomba, Queensland, Australia"
0,1522,Bob COOPER,Bob Cooper,"Wednesday, 31st August, 1955","Sydney, New South Wales, Australia"
0,1509,Arthur BEETSON,Arthur Beetson,"Monday, 22nd January, 1945","Roma, Queensland, Australia"
0,1523,Craig YOUNG,Craig Young,"Monday, 25th June, 1956","Wollongong, New South Wales, Australia"
0,1510,John LANG,John Lang,"Tuesday, 7th November, 1950",
0,1524,Steve EDGE,Steve 'Sledge' Edge,"Tuesday, 2nd October, 1951","Kogarah, New South Wales, Australia"
0,1511,Rod MORRIS,Rod Morris,"Monday, 12th June, 1950","Ipswich, Queensland, Australia"
0,1525,Gary HAMBLY,Gary Hambly,"Wednesday, 18th April, 1956",
0,1527,Robert STONE,Robert Stone,"Monday, 27th February, 1956",
0,1534,Phil SIGSWORTH,Phil Sigsworth,"Saturday, 31st January, 1959",
0,1535,Terry FAHEY,Terry 'Redfern Express' Fahey,"Wednesday, 20th January, 1954","Wellington, New South Wales, Australia"
0,1528,Mitch BRENNAN,Mitch Brennan,"Saturday, 30th October, 1954",
0,1110,Eric GROTHE,Eric 'Guru' Grothe,"Wednesday, 6th January, 1960","Sydney, New South Wales, Australia"
0,97,Terry LAMB,Terry 'Baa Baa' Lamb,"Friday, 15th September, 1961","Sydney, New South Wales, Australia"
0,1529,Ross HENRICK,Ross 'The Angry Ant' Henrick,"Tuesday, 7th December, 1954",
0,1125,Peter STERLING,Peter Sterling,"Thursday, 16th June, 1960","Toowoomba, Queensland, Australia"
0,1530,Chris PHELAN,Chris Phelan,"Monday, 12th December, 1955",
0,1536,Ray PRICE,Ray 'Mr Perpetual Motion' Price,"Wednesday, 4th March, 1953","St Leonards, New South Wales, Australia"
0,1537,Les BOYD,Les 'Gum Leaves' Boyd,"Saturday, 17th November, 1956","Nyngan, New South Wales, Australia"
