,match_id,player_id,score,n_scores
0,2295,1082,T,1
0,2295,1518,T,1
0,2295,988,T,1
0,2295,1520,T,1
0,2295,918,G,7/7
0,2295,6089,G,2/3
0,2296,1504,T,1
0,2296,1110,T,2
0,2296,988,T,1
0,2296,6089,T,1
0,2296,892,T,1
0,2296,918,PT,1
0,2296,918,G,5/7
0,2296,6089,G,3/3
0,2296,1511,BIN,1
0,2296,1540,BIN,1
0,2297,1528,T,1
0,2297,1547,T,2
0,2297,1543,T,1
0,2297,1137,T,1
0,2297,1548,T,1
0,2297,918,G,5/6
0,2297,6089,G,4/5
0,2298,893,T,1
0,2298,1137,T,1
0,2298,1543,T,1
0,2298,1059,T,1
0,2298,1503,G,1/3
0,2298,968,G,2/3
0,2298,892,G,0/3
0,2299,4402,T,1
0,2299,1508,T,1
0,2299,892,T,1
0,2299,6089,G,1/3
0,2299,918,G,2/3
0,2299,1537,BIN5,1
0,2299,1545,BIN5,1
0,2299,892,BIN5,1
0,2300,892,T,2
0,2300,1561,T,1
0,2300,1533,T,1
0,2300,1110,T,1
0,2300,918,G,6/6
0,2300,1534,G,2/3
0,2300,1560,BIN5,1
0,2300,1537,BIN,1
0,2301,1561,T,1
0,2301,918,T,1
0,2301,997,T,1
0,2301,6089,G,1/3
0,2301,918,G,1/1
0,2302,1528,T,2
0,2302,1515,T,3
0,2302,1560,T,1
0,2302,1548,T,1
0,2302,880,T,1
0,2302,893,T,1
0,2302,894,T,1
0,2302,1557,T,1
0,2302,918,G,6/7
0,2302,6089,G,3/4
0,2302,1503,G,1/2
0,2302,892,FG,1
0,2303,1082,T,3
0,2303,1041,T,1
0,2303,892,T,1
0,2303,893,T,1
0,2303,1059,T,1
0,2303,918,G,2/8
0,2303,1569,G,4/4
0,2303,892,FG,1
0,2304,883,T,1
0,2304,893,T,1
0,2304,1569,G,1/4
0,2304,918,G,3/4
0,2305,1082,T,1
0,2305,1160,T,2
0,2305,1001,T,1
0,2305,1041,T,1
0,2305,918,G,2/4
0,2305,1569,G,5/7
0,2305,1560,BIN,1
0,2306,1051,T,2
0,2306,918,G,1/2
0,2306,1051,G,5/6
0,2307,858,T,1
0,2307,1089,T,1
0,2307,1113,T,1
0,2307,1001,T,1
0,2307,1548,T,1
0,2307,1051,G,4/5
0,2307,918,G,3/4
0,2307,1051,FG,1
0,2307,875,BIN5,1
0,2307,883,BIN5,1
0,2308,65,T,2
0,2308,1561,T,1
0,2308,1089,T,1
0,2308,1543,T,1
0,2308,918,G,2/6
0,2308,1051,G,1/1
0,2309,883,T,1
0,2309,1235,T,1
0,2309,893,T,1
0,2309,864,T,1
0,2309,1142,T,1
0,2309,1144,T,1
0,2309,918,G,4/4
0,2309,1051,G,3/4
0,2310,1041,T,1
0,2310,1089,T,1
0,2310,1235,T,1
0,2310,1095,T,1
0,2310,1113,T,1
0,2310,1001,T,1
0,2310,1051,T,1
0,2310,65,T,1
0,2310,873,T,1
0,2310,1051,G,2/6
0,2310,918,G,2/4
0,2310,875,BIN5,1
0,2311,901,T,1
0,2311,1051,T,1
0,2311,880,T,1
0,2311,873,T,1
0,2311,1095,T,1
0,2311,1250,T,1
0,2311,65,T,1
0,2311,1095,G,0/2
0,2311,1051,G,3/4
0,2311,918,G,0/3
0,2312,881,T,1
0,2312,1051,T,2
0,2312,883,T,1
0,2312,412,T,1
0,2312,65,T,1
0,2312,727,T,1
0,2312,901,G,1/2
0,2312,1051,G,2/4
0,2312,888,G,1/3
0,2313,1235,T,1
0,2313,883,T,1
0,2313,1503,T,1
0,2313,65,T,1
0,2313,1051,G,1/2
0,2313,892,G,0/1
0,2313,1503,G,0/3
0,2314,1001,T,1
0,2314,434,T,1
0,2314,65,T,1
0,2314,65,G,1/1
0,2314,1051,G,2/2
0,2314,1503,G,0/2
0,2388,930,T,1
0,2388,881,T,1
0,2388,404,T,1
0,2388,893,T,1
0,2388,259,T,1
0,2388,65,T,1
0,2388,727,T,1
0,2388,1051,T,1
0,2388,1051,G,5/8
0,2388,65,G,3/4
0,2315,404,T,1
0,2315,227,T,2
0,2315,727,T,1
0,2315,901,T,1
0,2315,1051,T,1
0,2315,888,T,1
0,2315,1140,T,1
0,2315,1051,G,3/4
0,2315,901,G,3/6
0,2316,879,T,1
0,2316,1051,T,1
0,2316,227,T,1
0,2316,901,G,4/4
0,2316,1051,G,1/3
0,2316,892,BIN5,1
0,2316,1236,BIN5,1
0,2316,880,BIN,1
0,2316,1044,BIN,1
0,2316,875,BIN,1
0,2317,908,T,1
0,2317,879,T,2
0,2317,1094,T,1
0,2317,901,T,1
0,2317,1051,T,1
0,2317,1088,T,1
0,2317,873,T,1
0,2317,890,T,1
0,2317,227,T,1
0,2317,892,T,1
0,2317,1051,G,3/5
0,2317,901,G,5/7
0,2318,223,T,2
0,2318,404,T,1
0,2318,918,T,2
0,2318,227,T,1
0,2318,1001,T,1
0,2318,1140,T,1
0,2318,918,G,4/7
0,2318,210,G,1/2
0,2318,892,BIN5,1
0,2319,210,T,1
0,2319,223,T,1
0,2319,224,T,1
0,2319,892,T,1
0,2319,229,T,1
0,2319,346,G,2/2
0,2319,901,G,1/2
0,2319,210,G,0/1
0,2319,918,G,1/1
0,2320,65,T,2
0,2320,260,T,1
0,2320,901,T,1
0,2320,867,T,1
0,2320,881,T,1
0,2320,980,T,1
0,2320,223,T,1
0,2320,1140,T,1
0,2320,229,T,1
0,2320,65,G,4/7
0,2320,1051,G,2/4
0,2321,727,T,1
0,2321,1051,G,2/3
0,2322,519,T,1
0,2322,1095,T,1
0,2322,211,T,1
0,2322,556,G,2/4
0,2322,918,G,1/2
0,2323,901,T,1
0,2323,228,T,1
0,2323,913,T,1
0,2323,727,T,1
0,2323,901,G,2/3
0,2323,556,G,1/2
0,2323,892,G,1/2
0,2342,918,T,1
0,2342,210,T,1
0,2342,918,G,1/4
0,2342,346,G,0/1
0,2342,1051,G,0/1
0,2343,224,T,1
0,2343,222,T,1
0,2343,727,T,1
0,2343,65,T,1
0,2343,1051,G,3/4
0,2343,918,G,2/3
0,2343,517,BIN,1
0,2344,223,T,1
0,2344,260,T,1
0,2344,660,T,1
0,2344,224,T,1
0,2344,65,T,1
0,2344,1051,T,1
0,2344,918,G,1/4
0,2344,1051,G,0/4
0,2344,4,BIN,1
0,2345,216,T,1
0,2345,227,T,1
0,2345,184,T,1
0,2345,556,G,3/4
0,2345,918,G,1/2
0,2346,249,T,1
0,2346,918,G,0/2
0,2346,556,G,2/2
0,2346,227,FG,1
0,2346,4,BIN,1
0,2346,888,BIN,1
0,2347,469,T,1
0,2347,404,T,1
0,2347,211,T,1
0,2347,192,G,2/3
0,2347,918,G,2/2
0,2347,556,G,0/1
0,2348,222,T,1
0,2348,211,T,1
0,2348,1001,T,1
0,2348,556,T,1
0,2348,918,G,1/3
0,2348,556,G,3/4
0,2349,210,T,1
0,2349,918,T,1
0,2349,519,T,1
0,2349,226,T,1
0,2349,556,T,1
0,2349,556,G,2/3
0,2349,445,G,1/3
0,2349,65,G,1/1
0,2349,525,BIN,1
0,2350,222,T,2
0,2350,404,T,1
0,2350,1001,T,1
0,2350,396,T,1
0,2350,81,T,1
0,2350,918,G,2/3
0,2350,556,G,2/3
0,2350,221,G,2/2
0,2350,4,BIN,1
0,2350,858,BIN,1
0,2350,81,BIN,1
0,2350,396,BIN,1
0,2351,396,T,1
0,2351,222,T,1
0,2351,519,T,1
0,2351,525,T,1
0,2351,221,T,1
0,2351,174,G,1/1
0,2351,918,G,2/2
0,2351,556,G,1/1
0,2351,221,G,0/2
0,2352,228,T,1
0,2352,558,T,1
0,2352,192,G,3/4
0,2352,221,G,0/1
0,2353,230,T,1
0,2353,216,T,1
0,2353,643,T,1
0,2353,210,T,1
0,2353,470,T,1
0,2353,206,T,1
0,2353,221,G,2/2
0,2353,192,G,4/5
0,2353,858,FG,2
0,2353,470,FG,1
0,2354,556,G,0/1
0,2354,534,G,1/3
0,2355,555,T,1
0,2355,525,T,1
0,2355,546,T,1
0,2355,90,T,1
0,2355,179,T,1
0,2355,556,G,2/3
0,2355,534,G,4/5
0,2355,396,BIN,1
0,2355,235,BIN,1
0,2356,90,T,1
0,2356,192,T,1
0,2356,699,T,1
0,2356,398,T,1
0,2356,256,T,1
0,2356,556,T,1
0,2356,94,T,1
0,2356,534,G,4/6
0,2356,556,G,2/4
0,2357,227,T,1
0,2357,404,T,1
0,2357,263,T,1
0,2357,534,G,1/1
0,2357,276,G,3/3
0,2357,556,G,0/1
0,2358,206,T,2
0,2358,643,T,1
0,2358,556,T,1
0,2358,276,G,3/7
0,2358,221,G,1/1
0,2358,81,BIN,1
0,2358,619,OFF,1
0,2359,525,T,1
0,2359,404,T,1
0,2359,90,T,1
0,2359,206,T,1
0,2359,222,G,3/3
0,2359,556,G,2/2
0,2359,276,G,1/1
0,2359,470,FG,1
0,2359,192,BIN,1
0,2360,179,T,1
0,2360,558,T,1
0,2360,534,G,1/1
0,2360,276,G,1/2
0,2360,556,G,1/1
0,2361,91,T,1
0,2361,90,T,1
0,2361,265,T,1
0,2361,388,T,1
0,2361,540,T,1
0,2361,88,T,1
0,2361,561,G,1/3
0,2361,221,G,1/4
0,2361,534,G,0/1
0,2361,561,FG,1
0,2362,390,T,1
0,2362,525,T,1
0,2362,276,T,1
0,2362,699,T,1
0,2362,221,T,1
0,2362,276,G,1/2
0,2362,221,G,3/4
0,2362,561,G,1/1
0,2367,192,T,1
0,2367,118,T,1
0,2367,210,T,1
0,2367,227,T,1
0,2367,470,T,1
0,2367,164,T,1
0,2367,263,T,1
0,2367,226,T,1
0,2367,556,T,1
0,2367,276,G,1/5
0,2367,111,G,4/4
0,2367,276,FG,1
0,2368,225,T,1
0,2368,558,T,2
0,2368,88,T,1
0,2368,192,T,1
0,2368,470,T,1
0,2368,189,T,1
0,2368,111,G,1/1
0,2368,276,G,3/5
0,2368,699,G,0/1
0,2369,540,T,1
0,2369,699,T,1
0,2369,227,T,1
0,2369,226,T,1
0,2369,276,G,0/1
0,2369,111,G,2/2
0,2369,388,G,1/1
0,2369,94,FG,1
0,2370,528,T,1
0,2370,403,G,4/4
0,2370,460,G,2/3
0,2370,403,FG,1
0,2371,210,T,1
0,2371,403,T,1
0,2371,402,T,1
0,2371,460,G,2/2
0,2371,403,G,2/2
0,2372,407,T,1
0,2372,736,T,2
0,2372,111,T,1
0,2372,111,G,1/2
0,2372,460,G,1/3
0,2373,189,T,2
0,2373,179,T,2
0,2373,460,T,1
0,2373,403,T,1
0,2373,287,T,1
0,2373,460,G,2/5
0,2373,111,G,1/1
0,2373,403,G,1/3
0,2373,1273,OFF,1
0,2374,1273,T,1
0,2374,470,T,1
0,2374,215,T,1
0,2374,460,T,1
0,2374,740,T,1
0,2374,557,T,1
0,2374,403,G,3/3
0,2374,460,G,4/5
0,2374,276,G,0/1
0,2375,460,T,3
0,2375,403,T,1
0,2375,272,T,2
0,2375,233,T,1
0,2375,1344,T,1
0,2375,1273,T,1
0,2375,276,T,1
0,2375,398,T,1
0,2375,189,T,1
0,2375,460,G,10/10
0,2375,403,G,2/3
0,2376,10,T,1
0,2376,806,T,1
0,2376,20,T,1
0,2376,470,T,1
0,2376,111,T,1
0,2376,272,T,1
0,2376,233,T,1
0,2376,835,T,1
0,2376,131,T,1
0,2376,111,G,5/6
0,2376,1271,G,2/3
0,2377,470,T,2
0,2377,835,T,1
0,2377,390,T,1
0,2377,806,T,1
0,2377,176,T,1
0,2377,460,G,3/6
0,2377,111,G,2/2
0,2378,7,T,2
0,2378,460,T,2
0,2378,111,T,2
0,2378,835,T,2
0,2378,1606,T,1
0,2378,227,T,1
0,2378,111,G,4/9
0,2378,460,G,3/3
0,2379,272,T,1
0,2379,1423,T,1
0,2379,307,T,1
0,2379,276,T,1
0,2379,1635,T,1
0,2379,760,T,1
0,2379,276,G,4/4
0,2379,1290,G,0/1
0,2379,307,G,1/2
0,2379,806,FG,1
0,2379,276,FG,1
0,2379,1273,BIN,1
0,2380,1423,T,3
0,2380,143,T,1
0,2380,1606,T,1
0,2380,176,T,1
0,2380,1273,T,1
0,2380,557,T,1
0,2380,1423,G,3/5
0,2380,276,G,3/4
0,2381,1278,T,2
0,2381,109,T,1
0,2381,263,T,1
0,2381,1606,T,1
0,2381,1423,T,1
0,2381,113,T,1
0,2381,276,G,3/3
0,2381,1423,G,1/4
0,2382,111,T,1
0,2382,834,T,2
0,2382,1273,T,1
0,2382,276,T,1
0,2382,842,T,1
0,2382,111,G,2/2
0,2382,276,G,4/4
0,2382,276,FG,1
0,2383,760,T,2
0,2383,844,T,1
0,2383,272,T,1
0,2383,829,T,1
0,2383,834,T,1
0,2383,276,G,3/6
0,2383,844,G,0/1
0,2383,276,FG,1
0,2384,88,T,3
0,2384,760,T,1
0,2384,108,T,2
0,2384,844,T,1
0,2384,742,T,1
0,2384,30,G,4/7
0,2384,276,G,1/1
0,2385,557,T,1
0,2385,59,T,1
0,2385,108,T,1
0,2385,845,G,2/3
0,2385,742,G,0/2
0,2385,557,FG,1
0,2386,735,T,2
0,2386,760,T,2
0,2386,1606,T,1
0,2386,327,T,1
0,2386,141,T,1
0,2386,742,G,2/3
0,2386,845,G,3/4
0,2386,59,G,1/2
0,2386,111,G,0/1
0,2387,803,T,2
0,2387,123,T,1
0,2387,806,T,1
0,2387,735,T,1
0,2387,470,T,1
0,2387,834,T,1
0,2387,327,T,1
0,2387,845,G,5/6
0,2387,742,G,3/3
0,2387,803,G,1/1
0,2294,123,T,1
0,2294,782,T,1
0,2294,844,T,1
0,2294,845,T,1
0,2294,124,T,1
0,2294,803,T,1
0,2294,327,T,1
0,2294,742,G,5/5
0,2294,845,G,2/3
0,2294,111,G,0/1
0,2294,293,G,0/1
0,2294,111,FG,1
0,2294,125,FG,1
0,2439,834,T,2
0,2439,123,T,1
0,2439,782,T,1
0,2439,115,T,1
0,2439,804,T,1
0,2439,735,T,1
0,2439,263,T,1
0,2439,119,T,1
0,2439,845,G,3/3
0,2439,742,G,3/4
0,2439,276,G,3/3
0,2939,123,T,1
0,2939,738,T,3
0,2939,125,T,1
0,2939,143,T,1
0,2939,803,T,1
0,2939,760,T,1
0,2939,742,G,1/2
0,2939,276,G,3/5
0,2939,845,G,1/2
0,4023,1389,T,1
0,4023,1379,T,2
0,4023,738,T,1
0,4023,737,T,1
0,4023,1641,T,1
0,4023,307,G,2/4
0,4023,125,G,2/3
0,4023,1389,FG,1
0,4024,1398,T,2
0,4024,760,T,1
0,4024,109,T,1
0,4024,107,T,1
0,4024,131,T,1
0,4024,125,G,5/6
0,4024,307,G,1/1
0,4025,761,T,2
0,4025,111,T,1
0,4025,738,T,1
0,4025,1398,T,1
0,4025,108,T,1
0,4025,307,G,1/3
0,4025,1290,G,2/3
0,7986,1379,T,2
0,7986,804,T,1
0,7986,111,T,1
0,7986,3709,T,1
0,7986,164,T,1
0,7986,767,T,1
0,7986,125,G,4/4
0,7986,1635,G,3/4
0,7986,125,FG,1
0,7987,820,T,1
0,7987,737,T,1
0,7987,1379,T,1
0,7987,1635,G,1/1
0,7987,125,G,1/2
0,7988,107,T,1
0,7988,139,T,1
0,7988,3709,T,1
0,7988,738,T,1
0,7988,125,G,0/1
0,7988,139,G,3/3
0,15004,1392,T,2
0,15004,5542,T,1
0,15004,316,T,1
0,15004,108,T,1
0,15004,820,T,1
0,15004,845,G,1/3
0,15004,125,G,1/2
0,15004,2748,G,0/1
0,15005,3516,T,2
0,15005,5542,T,1
0,15005,848,T,1
0,15005,125,G,7/7
0,15006,804,T,1
0,15006,5542,T,2
0,15006,735,T,1
0,15006,845,G,3/3
0,15006,125,G,2/4
0,15762,1379,T,2
0,15762,811,T,1
0,15762,3516,T,1
0,15762,3709,T,1
0,15762,735,T,1
0,15762,842,T,1
0,15762,125,T,1
0,15762,125,G,4/5
0,15762,275,G,3/4
0,15955,3709,T,2
0,15955,5542,T,1
0,15955,7727,T,1
0,15955,1379,T,1
0,15955,111,T,1
0,15955,742,T,1
0,15955,275,G,1/3
0,15955,125,G,4/4
0,15956,107,T,1
0,15956,811,T,2
0,15956,746,T,1
0,15956,5548,T,1
0,15956,735,T,1
0,15956,7727,T,1
0,15956,125,G,2/3
0,15956,815,G,3/3
0,15956,275,G,3/3
0,15956,122,BIN,1
0,15956,811,BIN,1
0,15956,335,OFF,1
0,20061,811,T,1
0,20061,3516,T,1
0,20061,3709,T,1
0,20061,1379,T,1
0,20061,7858,T,1
0,20061,111,T,1
0,20061,828,T,1
0,20061,735,T,1
0,20061,122,T,1
0,20061,1635,G,4/5
0,20061,125,G,4/5
0,20062,5542,T,2
0,20062,750,T,1
0,20062,3516,T,1
0,20062,1595,T,1
0,20062,1379,T,1
0,20062,141,T,1
0,20062,125,G,5/6
0,20062,815,G,1/1
0,20063,303,T,1
0,20063,3516,T,1
0,20063,299,T,1
0,20063,153,T,1
0,20063,275,T,1
0,20063,735,T,1
0,20063,141,T,1
0,20063,3617,G,3/3
0,20063,125,G,3/3
0,20063,5542,G,0/1
0,20063,111,FG,1
0,21586,735,T,1
0,21586,5563,T,1
0,21586,125,T,1
0,21586,5565,T,1
0,21586,13566,T,1
0,21586,125,G,2/4
0,21586,1388,G,2/2
0,21587,14998,T,1
0,21587,742,T,1
0,21587,324,T,1
0,21587,834,T,1
0,21587,1388,G,3/4
0,21587,125,G,2/2
0,21588,1379,T,2
0,21588,303,T,1
0,21588,735,T,1
0,21588,3709,T,1
0,21588,742,T,1
0,21588,834,T,1
0,21588,122,T,1
0,21588,7853,T,1
0,21588,13566,T,1
0,21588,125,G,4/4
0,21588,1388,G,4/5
0,21588,742,G,1/2
0,28127,5563,T,1
0,28127,3516,T,2
0,28127,7853,T,1
0,28127,1379,T,1
0,28127,791,G,1/3
0,28127,125,G,3/3
0,28127,5563,BIN,1
0,28137,820,T,2
0,28137,848,T,1
0,28137,5548,T,1
0,28137,1379,T,1
0,28137,791,G,2/4
0,28137,125,G,2/2
0,28137,1595,BIN,1
0,28185,3516,T,1
0,28185,3701,T,1
0,28185,107,T,1
0,28185,5548,T,1
0,28185,125,T,1
0,28185,820,T,1
0,28185,125,G,4/5
0,28185,791,G,4/4
0,28185,1595,FG,1
0,28914,3709,T,1
0,28914,3516,T,1
0,28914,5563,T,1
0,28914,13818,G,3/4
0,28914,742,G,1/1
0,28915,3516,T,2
0,28915,3701,T,1
0,28915,1379,T,1
0,28915,122,T,1
0,28915,125,G,5/6
0,28915,13818,G,1/1
0,28916,13731,T,1
0,28916,107,T,1
0,28916,5547,T,1
0,28916,125,T,1
0,28916,13818,G,1/2
0,28916,125,G,2/3
0,29003,3516,T,2
0,29003,3709,T,1
0,29003,3701,T,1
0,29003,125,G,0/2
0,29003,14508,G,2/4
0,29004,14508,T,1
0,29004,14508,G,1/1
0,29004,125,G,2/2
0,29005,3516,T,1
0,29005,13735,T,1
0,29005,1595,T,1
0,29005,14506,T,1
0,29005,735,T,1
0,29005,742,T,1
0,29005,125,G,6/6
0,29005,14508,G,2/2
0,30682,5548,T,1
0,30682,5652,T,1
0,30682,2834,T,1
0,30682,1595,T,1
0,30682,14508,G,1/2
0,30682,125,G,1/3
0,30682,1595,FG,1
0,30694,14502,T,1
0,30694,13735,T,1
0,30694,1379,T,1
0,30694,5563,T,1
0,30694,1921,T,1
0,30694,5548,T,1
0,30694,16588,T,1
0,30694,125,G,3/4
0,30694,14508,G,5/5
0,30705,3516,T,1
0,30705,5563,T,1
0,30705,5652,T,1
0,30705,16573,T,1
0,30705,14502,T,1
0,30705,14506,T,1
0,30705,1379,T,1
0,30705,14542,T,1
0,30705,17155,T,1
0,30705,125,G,9/9
0,30705,14508,G,1/2
0,30705,107,G,1/1
