,player_id,player_name_comma,player_birthday,total_matches,total_points
0,458,"ADAMSON, Matt",1972-08-14,2,-
0,22717,"ADDO-CARR, Josh",1995-07-28,15,44
0,390,"AINSCOUGH, Jamie",1972-07-20,12,8
0,1458,"ALBERT, Darren",1976-02-28,1,-
0,346,"ALEXANDER, Greg",1965-03-04,6,4
0,28207,"ALLAN, Corey",1998-04-19,1,-
0,235,"ALLEN, Gavin",1965-03-30,8,-
0,143,"ANASTA, Braith",1982-01-14,10,8
0,1515,"ANDERSON, Chris",1952-05-28,4,12
0,22749,"ARROW, Jai",1995-07-12,12,-
0,1513,"ASTILL, Bruce",1955-06-13,1,-
0,1551,"AYLIFFE, Royce",1956-11-01,3,-
0,1504,"BACKER, Brad",1956-07-19,3,3
0,879,"BACKO, Sam",1961-01-01,7,12
0,808,"BAILEY, Luke",1980-01-05,15,-
0,298,"BAILEY, Phil",1980-05-25,3,-
0,5557,"BALLIN, Matt",1984-01-05,1,-
0,531,"BARNHILL, David",1969-06-08,9,-
0,806,"BARRETT, Trent",1977-11-18,11,13
0,534,"BARTRIM, Wayne",1971-10-09,9,22
0,1259,"BAWDEN, Russell",1973-07-24,3,-
0,1632,"BEATTIE, Chris",1975-08-26,3,-
0,1509,"BEETSON, Arthur",1945-01-22,1,-
0,901,"BELCHER, Gary",1962-05-28,16,52
0,737,"BELL, Steve",1976-05-28,5,8
0,4,"BELLA, Martin",1964-03-26,21,-
0,109,"BERRIGAN, Shaun",1978-11-04,15,8
0,28828,"BEST, Bradman",2001-08-09,1+,8
0,303,"BIRD, Greg",1984-02-10,18,8
0,21482,"BIRD, Jack",1995-03-20,5,-
0,341,"BLAKE, Phil",1963-11-24,1,-
0,1082,"BOUSTEAD, Kerry",1959-08-12,6,19
0,1540,"BOWDEN, Steve",1955-05-27,1,-
0,123,"BOWEN, Matt",1982-03-09,10,16
0,7,"BOWMAN, Paul",1976-01-24,12,8
0,3516,"BOYD, Darius",1987-07-17,28,68
0,1537,"BOYD, Les",1956-11-17,3,-
0,434,"BOYLE, David",1959-08-31,4,4
0,192,"BRASHER, Tim",1971-03-16,21,30
0,1528,"BRENNAN, Mitch",1954-10-30,4,11
0,1518,"BRENTNALL, Greg",1956-12-05,4,3
0,26150,"BRIMSON, AJ",1998-09-09,4,4
