,ref_id,ref_name_comma,ref_name,ref_birthday
0,42078,"ANNESLEY, Graham",Graham Annesley,26 May 1957
0,42083,"ARCHER, Tony",Tony Archer,
0,42086,"CECCHIN, Matt",Matt Cecchin,
0,42076,"CLARK, Steve",Steve Clark,
0,42134,"CUMMINS, Ben",Ben Cummins,
0,42104,"GOCHER, John",John Gocher,
0,42102,"GOMERSALL, Barry",Barry Gomersall,19 Oct 1945
0,42074,"HAMPSTEAD, Sean",Sean Hampstead,
0,42077,"HARRIGAN, Bill",Bill Harrigan,24 Mar 1960
0,42087,"HAYNE, Shayne",Shayne Hayne,31 Oct 1967
0,42081,"JEFFES, Kelvin",Kelvin Jeffes,
0,42116,"KLEIN, Ashley",Ashley Klein,6 Sep 1979
0,42098,"McCALLUM, Greg",Greg McCallum,
0,42061,"MANSON, David",David Manson,
0,42135,"MAXWELL, Jared",Jared Maxwell,
0,10679,"ROBERTS, Kevin",Kevin 'Bilko' Roberts,11 Sep 1941
0,42073,"SIMPKINS, Paul",Paul Simpkins,
0,42100,"STEEL, Kevin",Kevin Steel,
0,42095,"STONE, Mick",Mick Stone,5 Jul 1949
0,42376,"SUTTON, Gerard",Gerard Sutton,23 Oct 1978
0,42099,"THOMPSON, Billy",Billy Thompson,21 Sep 1933
0,42071,"WARD, Eddie",Eddie Ward,3 Mar 1951
0,42105,"WHITFIELD, Robin",Robin Whitfield,26 Nov 1943
0,42103,"WILSON, Don",Don Wilson,
