,venue_id,venue_name,non-commercial_name,location
0,22,Lang Park,Lang Park,"Milton, Brisbane
Queensland
Australia"
0,24,Sydney Cricket Ground,Sydney Cricket Ground,"Moore Park, Sydney
New South Wales
Australia"
0,50,Veterans Memorial Stadium,Veterans Memorial Stadium,"Long Beach
California
United States of America"
0,1,Sydney Football Stadium (Old),Sydney Football Stadium (Old),"Moore Park, Sydney
New South Wales
Australia"
0,12,Olympic Park Stadium,Olympic Park,"Jolimont, Melbourne
Victoria
Australia"
0,37,Melbourne Cricket Ground,Melbourne Cricket Ground,"Jolimont, Melbourne
Victoria
Australia"
0,20,Accor Stadium,Stadium Australia,"Sydney Olympic Park, Sydney
New South Wales
Australia"
0,13,Queensland Sport and Athletics Centre,Queensland Sport and Athletics Centre,"Nathan, Brisbane
Queensland
Australia"
0,1097,Suncorp Stadium,Brisbane Stadium (Lang Park),"Milton, Brisbane
Queensland
Australia"
0,30,Marvel Stadium,Docklands,"Docklands, Melbourne
Victoria
Australia"
0,804,Optus Stadium,Perth Stadium,"Perth
Western Australia
Australia"
0,33,Adelaide Oval,Adelaide Oval,"Adelaide
South Australia
Australia"
0,985,Queensland Country Bank Stadium,North Queensland Stadium,"Townsville
Queensland
Australia"
0,149,Cbus Super Stadium,Robina Stadium,"Robina, Gold Coast
Queensland
Australia"
