competition_year,year,Minor Premiership,Premiership,Wooden Spoon
NSWRFL 1908,1908,South Sydney Rabbitohs,South Sydney Rabbitohs,Western Suburbs Magpies
NSWRFL 1909,1909,South Sydney Rabbitohs,South Sydney Rabbitohs,Western Suburbs Magpies
NSWRFL 1910,1910,Newtown,Newtown,Western Suburbs Magpies
NSWRFL 1911,1911,Glebe,Eastern Suburbs,Balmain Tigers
NSWRFL 1912,1912,Eastern Suburbs,Eastern Suburbs,Western Suburbs Magpies
NSWRFL 1913,1913,Eastern Suburbs,Eastern Suburbs,Western Suburbs Magpies
NSWRFL 1914,1914,South Sydney Rabbitohs,South Sydney Rabbitohs,Annandale
NSWRFL 1915,1915,Balmain Tigers,Balmain Tigers,North Sydney
NSWRFL 1916,1916,Balmain Tigers,Balmain Tigers,Western Suburbs Magpies
NSWRFL 1917,1917,Balmain Tigers,Balmain Tigers,North Sydney
NSWRFL 1918,1918,South Sydney Rabbitohs,South Sydney Rabbitohs,Annandale
NSWRFL 1919,1919,Balmain Tigers,Balmain Tigers,North Sydney
NSWRFL 1920,1920,Balmain Tigers,Balmain Tigers,Annandale
NSWRFL 1921,1921,North Sydney,North Sydney,University
NSWRFL 1922,1922,North Sydney,North Sydney,St George Dragons
NSWRFL 1923,1923,Eastern Suburbs,Eastern Suburbs,University
NSWRFL 1924,1924,Balmain Tigers,Balmain Tigers,Newtown
NSWRFL 1925,1925,South Sydney Rabbitohs,South Sydney Rabbitohs,Newtown
NSWRFL 1926,1926,South Sydney Rabbitohs,South Sydney Rabbitohs,St George Dragons
NSWRFL 1927,1927,South Sydney Rabbitohs,South Sydney Rabbitohs,University
NSWRFL 1928,1928,St George Dragons,South Sydney Rabbitohs,Newtown
NSWRFL 1929,1929,South Sydney Rabbitohs,South Sydney Rabbitohs,University
NSWRFL 1930,1930,Western Suburbs Magpies,Western Suburbs Magpies,University
NSWRFL 1931,1931,Eastern Suburbs,South Sydney Rabbitohs,University
NSWRFL 1932,1932,South Sydney Rabbitohs,South Sydney Rabbitohs,North Sydney
NSWRFL 1933,1933,Newtown,Newtown,Western Suburbs Magpies
NSWRFL 1934,1934,Eastern Suburbs,Western Suburbs Magpies,University
NSWRFL 1935,1935,Eastern Suburbs,Eastern Suburbs,University
NSWRFL 1936,1936,Eastern Suburbs,Eastern Suburbs,University
NSWRFL 1937,1937,Eastern Suburbs,Eastern Suburbs,University
NSWRFL 1938,1938,Canterbury Bankstown,Canterbury Bankstown,St George Dragons
NSWRFL 1939,1939,Balmain Tigers,Balmain Tigers,Newtown
NSWRFL 1940,1940,Eastern Suburbs,Eastern Suburbs,Western Suburbs Magpies
NSWRFL 1941,1941,Eastern Suburbs,St George Dragons,North Sydney
NSWRFL 1942,1942,Canterbury Bankstown,Canterbury Bankstown,Western Suburbs Magpies
NSWRFL 1943,1943,Newtown,Newtown,Canterbury Bankstown
NSWRFL 1944,1944,Newtown,Balmain Tigers,Canterbury Bankstown
NSWRFL 1945,1945,Eastern Suburbs,Eastern Suburbs,South Sydney Rabbitohs
NSWRFL 1946,1946,St George Dragons,Balmain Tigers,South Sydney Rabbitohs
